,Binary_Class,Search Date,alcoholism,anxiety,athleisure,cutting hair,depression,dry cough,eczema,fever,flu symptoms,lack of smell,lack of taste,long-term care,mask mandates,obamacare,opiods,peloton,quarantine,short-term disability,star trek,telehealth,teslas,unemployment insurance,vaping,xanax,zoom,covid symptoms,hospitals near me,baconator,helmet,aluminium,plane,age,hen,table,digital,mutation,oppose,city,athlete,prediction,tumble,stroke,diabetes,lungs,ivermectin,hydroxychloroquine,bleach,lake,toilet paper,stimulus,vaccines near me,vaccine side effects,how to get my taste back,anti-depressant,mental health,can dogs get covid,doritos locos tacos,best hikes near me,tiktok,jeff bezos net worth,what is ivermectin,what is mrna,bill gates population control,ubereats,instacart jobs,gig economy,stimmy,trump,biden,china,Total Doses Administered,Daily Increase,Current Hospitalized COVID-19 Patients,Number of Flights
10,Low,2022-02-03,42.0,83.0,28.0,30.0,75.0,15.0,59.0,26.0,9.0,10.0,4.0,56.0,16.0,9.0,46.0,15.0,3.0,31.0,30.0,18.0,35.0,4.0,27.0,68.0,13.0,15.0,44.0,18.0,59.0,22.0,25.0,46.0,16.0,63.0,64.0,21.0,29.0,46.0,55.0,14.0,67.0,56.0,65.0,47.0,13.0,1.0,22.0,44.0,1.0,1.0,5.0,5.0,30.0,0.0,67.0,17.0,1.0,28.0,13.0,10.0,10.0,30.0,0.0,58.0,21.0,9.0,0.0,2.0,2.0,25.0,544616938.0,490815.0,119692.43,149649.0
11,Low,2022-11-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,High,2022-10-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,High,2022-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,High,2022-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,High,2022-07-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,High,2022-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Low,2022-05-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Low,2022-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,High,2022-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,High,2022-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,High,2022-01-23,29.0,71.0,42.0,27.0,49.0,20.0,93.0,37.0,11.0,0.0,5.0,22.0,13.0,6.0,48.0,27.0,6.0,7.0,33.0,10.0,55.0,2.0,24.0,67.0,7.0,32.0,64.0,18.0,67.0,23.0,23.0,50.0,16.0,67.0,63.0,20.0,26.0,62.0,44.0,16.0,77.0,51.0,72.0,51.0,15.0,1.0,23.0,42.0,1.0,1.0,9.0,6.0,45.0,46.0,37.0,45.0,2.0,11.0,15.0,6.0,15.0,15.0,0.0,53.0,20.0,2.0,1.0,2.0,2.0,24.0,537761946.0,321536.0,146760.0,158033.0
22,High,2021-12-23,49.0,72.0,37.0,27.0,43.0,30.0,59.0,50.0,26.0,11.0,18.0,21.0,8.0,7.0,24.0,16.0,10.0,33.0,31.0,17.0,44.0,2.0,20.0,66.0,6.0,61.0,53.0,15.0,61.0,24.0,25.0,42.0,33.0,45.0,67.0,6.0,6.0,43.0,23.0,13.0,68.0,43.0,44.0,38.0,19.0,1.0,25.0,39.0,1.0,1.0,24.0,14.0,65.0,22.0,38.0,65.0,4.0,15.0,14.0,9.0,23.0,14.0,5.0,50.0,7.0,2.0,0.0,2.0,2.0,24.0,507789360.0,1431827.0,62849.86,179535.0
23,High,2022-01-21,27.0,75.0,39.0,22.0,59.0,18.0,65.0,37.0,13.0,0.0,4.0,37.0,21.0,8.0,47.0,51.0,7.0,25.0,28.0,15.0,52.0,3.0,27.0,69.0,11.0,34.0,59.0,36.0,67.0,20.0,25.0,49.0,19.0,65.0,60.0,11.0,11.0,45.0,28.0,21.0,56.0,49.0,59.0,44.0,18.0,1.0,30.0,46.0,1.0,1.0,24.0,10.0,31.0,22.0,59.0,44.0,5.0,15.0,13.0,9.0,22.0,32.0,11.0,56.0,16.0,2.0,1.0,2.0,3.0,23.0,536844254.0,1033644.0,148047.29,178918.0
24,Low,2022-01-20,39.0,82.0,42.0,22.0,67.0,21.0,60.0,41.0,17.0,5.0,4.0,43.0,26.0,8.0,41.0,44.0,7.0,23.0,28.0,21.0,56.0,6.0,25.0,72.0,13.0,39.0,66.0,20.0,60.0,24.0,24.0,48.0,16.0,63.0,65.0,19.0,26.0,45.0,41.0,18.0,54.0,54.0,69.0,53.0,17.0,1.0,22.0,42.0,1.0,1.0,17.0,11.0,29.0,39.0,70.0,37.0,3.0,14.0,13.0,5.0,21.0,26.0,15.0,52.0,19.0,3.0,0.0,3.0,4.0,22.0,535810610.0,896017.0,148315.57,169055.0
25,High,2022-01-19,41.0,85.0,63.0,24.0,63.0,23.0,63.0,45.0,15.0,10.0,8.0,41.0,18.0,8.0,46.0,21.0,8.0,24.0,29.0,20.0,45.0,4.0,24.0,68.0,13.0,42.0,57.0,20.0,67.0,23.0,25.0,45.0,16.0,65.0,66.0,20.0,39.0,45.0,35.0,16.0,49.0,51.0,70.0,59.0,18.0,1.0,22.0,40.0,1.0,1.0,19.0,11.0,34.0,41.0,66.0,62.0,2.0,23.0,13.0,4.0,33.0,31.0,10.0,53.0,22.0,6.0,0.0,2.0,3.0,22.0,534914593.0,941823.0,148081.43,169845.0
26,High,2022-01-18,39.0,79.0,50.0,21.0,57.0,25.0,69.0,47.0,18.0,10.0,4.0,42.0,9.0,7.0,56.0,21.0,9.0,18.0,28.0,20.0,52.0,4.0,24.0,71.0,13.0,45.0,63.0,11.0,56.0,27.0,23.0,44.0,14.0,63.0,67.0,21.0,28.0,45.0,41.0,17.0,82.0,52.0,76.0,51.0,22.0,2.0,22.0,41.0,1.0,1.0,16.0,8.0,59.0,20.0,64.0,54.0,3.0,0.0,13.0,7.0,33.0,19.0,5.0,51.0,19.0,5.0,1.0,2.0,2.0,22.0,533972770.0,963429.0,147406.29,166452.0
27,High,2022-01-17,34.0,75.0,38.0,32.0,51.0,25.0,66.0,45.0,16.0,5.0,9.0,33.0,12.0,6.0,57.0,22.0,9.0,25.0,29.0,15.0,60.0,3.0,25.0,65.0,8.0,49.0,56.0,20.0,67.0,29.0,24.0,44.0,15.0,62.0,63.0,17.0,28.0,47.0,37.0,17.0,59.0,51.0,68.0,52.0,21.0,1.0,23.0,41.0,1.0,1.0,10.0,7.0,40.0,43.0,47.0,42.0,1.0,24.0,16.0,5.0,15.0,15.0,5.0,57.0,18.0,6.0,2.0,2.0,2.0,22.0,533009341.0,803435.0,146411.14,155855.0
28,High,2022-01-16,32.0,66.0,40.0,33.0,48.0,25.0,77.0,46.0,16.0,11.0,5.0,35.0,14.0,11.0,47.0,21.0,7.0,7.0,38.0,10.0,48.0,2.0,24.0,61.0,7.0,46.0,75.0,20.0,73.0,27.0,24.0,51.0,19.0,63.0,60.0,11.0,13.0,55.0,38.0,18.0,68.0,46.0,62.0,46.0,17.0,1.0,29.0,43.0,1.0,1.0,9.0,6.0,92.0,0.0,34.0,51.0,5.0,45.0,15.0,7.0,22.0,9.0,5.0,49.0,18.0,1.0,1.0,4.0,2.0,22.0,532205906.0,380910.0,145236.14,144571.0
29,High,2022-01-15,28.0,71.0,37.0,25.0,48.0,25.0,64.0,45.0,17.0,5.0,14.0,21.0,16.0,20.0,40.0,22.0,8.0,13.0,30.0,12.0,46.0,2.0,24.0,75.0,7.0,45.0,54.0,26.0,81.0,24.0,26.0,52.0,22.0,65.0,56.0,9.0,9.0,44.0,34.0,21.0,70.0,46.0,55.0,48.0,17.0,1.0,25.0,41.0,1.0,1.0,12.0,9.0,54.0,0.0,36.0,45.0,5.0,31.0,15.0,9.0,28.0,14.0,0.0,58.0,18.0,0.0,0.0,3.0,2.0,24.0,531824996.0,765838.0,143556.29,152297.0
30,High,2022-01-14,38.0,80.0,52.0,23.0,57.0,27.0,60.0,49.0,16.0,5.0,4.0,26.0,9.0,14.0,46.0,19.0,10.0,31.0,28.0,19.0,40.0,4.0,26.0,70.0,11.0,48.0,58.0,31.0,76.0,25.0,24.0,46.0,22.0,63.0,58.0,9.0,7.0,45.0,37.0,20.0,60.0,45.0,54.0,50.0,19.0,1.0,25.0,44.0,1.0,1.0,16.0,10.0,30.0,0.0,58.0,77.0,0.0,15.0,13.0,7.0,18.0,26.0,26.0,49.0,10.0,5.0,0.0,2.0,3.0,23.0,531059158.0,1423160.0,141419.86,180672.0
31,Low,2022-01-13,34.0,83.0,42.0,25.0,61.0,27.0,64.0,49.0,20.0,0.0,4.0,47.0,23.0,15.0,57.0,17.0,11.0,25.0,29.0,21.0,60.0,4.0,28.0,66.0,13.0,49.0,64.0,19.0,67.0,29.0,24.0,44.0,14.0,59.0,66.0,17.0,33.0,45.0,38.0,16.0,58.0,51.0,64.0,55.0,21.0,2.0,27.0,41.0,1.0,2.0,18.0,12.0,41.0,43.0,66.0,68.0,3.0,5.0,13.0,7.0,23.0,32.0,16.0,58.0,16.0,7.0,2.0,3.0,3.0,24.0,529635998.0,1247228.0,138678.14,185403.0
32,Low,2022-01-12,39.0,84.0,44.0,27.0,58.0,27.0,72.0,53.0,21.0,14.0,8.0,42.0,15.0,13.0,62.0,20.0,11.0,49.0,30.0,24.0,47.0,5.0,26.0,70.0,13.0,54.0,61.0,11.0,57.0,33.0,26.0,46.0,16.0,62.0,68.0,17.0,23.0,44.0,40.0,18.0,52.0,54.0,73.0,59.0,24.0,2.0,24.0,41.0,1.0,2.0,21.0,12.0,40.0,20.0,67.0,77.0,0.0,14.0,13.0,7.0,23.0,22.0,10.0,51.0,21.0,5.0,0.0,2.0,2.0,23.0,528388770.0,1269908.0,135394.57,181070.0
33,High,2022-01-11,29.0,80.0,30.0,21.0,59.0,27.0,70.0,53.0,24.0,5.0,17.0,45.0,13.0,16.0,52.0,22.0,12.0,31.0,28.0,19.0,55.0,4.0,24.0,68.0,13.0,57.0,76.0,18.0,57.0,25.0,25.0,44.0,16.0,63.0,72.0,18.0,17.0,44.0,38.0,17.0,68.0,53.0,78.0,56.0,23.0,2.0,26.0,42.0,1.0,1.0,25.0,12.0,40.0,21.0,64.0,76.0,2.0,10.0,13.0,7.0,17.0,26.0,10.0,55.0,31.0,7.0,0.0,2.0,2.0,25.0,527118862.0,1271613.0,131504.29,170750.0
