,Binary_Class,Search Date,alcoholism,anxiety,athleisure,cutting hair,depression,dry cough,eczema,fever,flu symptoms,lack of smell,lack of taste,long-term care,mask mandates,obamacare,opiods,peloton,quarantine,short-term disability,star trek,telehealth,teslas,unemployment insurance,vaping,xanax,zoom,covid symptoms,hospitals near me,baconator,helmet,aluminium,plane,age,hen,table,digital,mutation,oppose,city,athlete,prediction,tumble,stroke,diabetes,lungs,ivermectin,hydroxychloroquine,bleach,lake,toilet paper,stimulus,vaccines near me,vaccine side effects,how to get my taste back,anti-depressant,mental health,can dogs get covid,doritos locos tacos,best hikes near me,tiktok,jeff bezos net worth,what is ivermectin,what is mrna,bill gates population control,ubereats,instacart jobs,gig economy,stimmy,trump,biden,china,Total Doses Administered,Daily Increase,Current Hospitalized COVID-19 Patients,Number of Flights
131,High,2021-10-05,42.0,88.0,20.0,20.0,67.0,15.0,55.0,29.0,8.0,10.0,17.0,36.0,8.0,9.0,69.0,15.0,3.0,37.0,31.0,18.0,48.0,5.0,28.0,64.0,12.0,22.0,89.0,13.0,55.0,37.0,23.0,41.0,16.0,69.0,67.0,20.0,31.0,45.0,42.0,18.0,61.0,52.0,76.0,52.0,16.0,1.0,20.0,41.0,1.0,2.0,13.0,15.0,30.0,62.0,69.0,13.0,0.0,5.0,12.0,14.0,33.0,27.0,5.0,44.0,16.0,4.0,1.0,2.0,3.0,23.0,404408086.0,1005063.0,65086.14,181512.0
132,High,2021-10-04,49.0,85.0,32.0,20.0,65.0,17.0,50.0,28.0,8.0,9.0,12.0,37.0,8.0,9.0,43.0,15.0,3.0,29.0,53.0,14.0,45.0,5.0,24.0,61.0,11.0,24.0,70.0,6.0,58.0,32.0,25.0,39.0,17.0,69.0,61.0,18.0,32.0,47.0,35.0,17.0,63.0,51.0,74.0,49.0,19.0,1.0,21.0,44.0,1.0,2.0,18.0,14.0,24.0,0.0,69.0,12.0,2.0,32.0,13.0,12.0,17.0,29.0,5.0,44.0,12.0,13.0,0.0,2.0,3.0,22.0,403403023.0,973235.0,66364.57,177405.0
133,High,2021-10-03,33.0,75.0,29.0,33.0,53.0,15.0,82.0,29.0,7.0,0.0,5.0,38.0,5.0,4.0,46.0,14.0,2.0,46.0,31.0,12.0,56.0,3.0,21.0,57.0,6.0,24.0,79.0,16.0,55.0,30.0,25.0,39.0,17.0,68.0,58.0,15.0,31.0,46.0,38.0,15.0,53.0,49.0,70.0,42.0,18.0,1.0,21.0,45.0,1.0,1.0,12.0,13.0,16.0,0.0,37.0,12.0,2.0,45.0,14.0,8.0,15.0,18.0,0.0,48.0,19.0,6.0,1.0,2.0,3.0,22.0,402429788.0,363889.0,67699.71,167786.0
134,High,2021-11-30,34.0,84.0,51.0,23.0,69.0,17.0,74.0,32.0,15.0,27.0,20.0,52.0,10.0,16.0,44.0,21.0,3.0,35.0,31.0,18.0,57.0,4.0,24.0,64.0,10.0,24.0,68.0,15.0,63.0,43.0,22.0,40.0,17.0,75.0,74.0,24.0,27.0,44.0,39.0,19.0,72.0,58.0,78.0,48.0,13.0,1.0,21.0,36.0,1.0,2.0,31.0,13.0,29.0,0.0,75.0,14.0,3.0,13.0,12.0,10.0,16.0,31.0,10.0,46.0,17.0,9.0,0.0,2.0,3.0,35.0,470365239.0,1894733.0,48498.71,188234.0
135,Low,2021-10-31,37.0,75.0,47.0,31.0,53.0,14.0,56.0,26.0,7.0,0.0,5.0,15.0,7.0,6.0,59.0,14.0,2.0,21.0,34.0,8.0,72.0,3.0,21.0,60.0,5.0,18.0,63.0,22.0,54.0,62.0,21.0,40.0,15.0,69.0,69.0,21.0,33.0,48.0,51.0,21.0,53.0,48.0,74.0,44.0,11.0,1.0,20.0,39.0,1.0,1.0,14.0,10.0,11.0,48.0,39.0,9.0,0.0,38.0,14.0,10.0,12.0,15.0,12.0,52.0,4.0,4.0,0.0,4.0,4.0,34.0,428977475.0,433637.0,43511.86,167884.0
136,Low,2021-09-30,40.0,87.0,44.0,27.0,67.0,17.0,49.0,31.0,8.0,5.0,0.0,62.0,13.0,9.0,85.0,13.0,3.0,56.0,33.0,15.0,76.0,5.0,26.0,75.0,11.0,24.0,73.0,16.0,62.0,34.0,26.0,38.0,16.0,67.0,66.0,15.0,35.0,49.0,41.0,18.0,87.0,51.0,72.0,48.0,24.0,1.0,22.0,46.0,1.0,2.0,23.0,18.0,15.0,0.0,69.0,12.0,3.0,5.0,12.0,9.0,19.0,33.0,42.0,53.0,20.0,8.0,0.0,2.0,3.0,22.0,400149891.0,1149180.0,71942.14,202142.0
137,Low,2021-08-31,41.0,90.0,30.0,25.0,75.0,18.0,56.0,35.0,7.0,5.0,8.0,32.0,28.0,7.0,48.0,16.0,5.0,24.0,30.0,13.0,45.0,6.0,19.0,65.0,12.0,40.0,100.0,22.0,66.0,77.0,26.0,38.0,16.0,65.0,69.0,13.0,20.0,45.0,37.0,16.0,58.0,56.0,71.0,50.0,60.0,3.0,22.0,57.0,1.0,2.0,33.0,23.0,53.0,0.0,62.0,19.0,5.0,23.0,12.0,10.0,83.0,24.0,10.0,50.0,14.0,5.0,2.0,3.0,9.0,24.0,377698988.0,925022.0,94956.43,187106.0
138,High,2021-07-31,34.0,72.0,29.0,31.0,45.0,14.0,53.0,30.0,5.0,5.0,0.0,34.0,33.0,8.0,34.0,11.0,3.0,19.0,32.0,8.0,60.0,4.0,23.0,72.0,5.0,34.0,63.0,23.0,72.0,44.0,28.0,48.0,20.0,63.0,55.0,9.0,9.0,47.0,74.0,12.0,57.0,63.0,55.0,41.0,15.0,2.0,28.0,72.0,1.0,2.0,27.0,23.0,53.0,44.0,37.0,15.0,4.0,64.0,13.0,15.0,15.0,19.0,11.0,58.0,16.0,3.0,1.0,3.0,2.0,49.0,353574582.0,514549.0,39674.29,193508.0
139,High,2021-06-30,25.0,82.0,13.0,26.0,53.0,13.0,60.0,24.0,4.0,5.0,0.0,52.0,8.0,10.0,53.0,16.0,2.0,23.0,28.0,15.0,41.0,6.0,21.0,70.0,10.0,10.0,76.0,10.0,54.0,53.0,26.0,41.0,17.0,56.0,61.0,13.0,12.0,53.0,57.0,12.0,54.0,64.0,66.0,35.0,7.0,1.0,26.0,68.0,1.0,3.0,14.0,15.0,9.0,0.0,60.0,2.0,2.0,18.0,13.0,7.0,13.0,14.0,0.0,46.0,18.0,5.0,2.0,3.0,2.0,29.0,337148762.0,630156.0,12213.86,190842.0
140,High,2021-05-31,33.0,74.0,22.0,29.0,53.0,13.0,58.0,25.0,3.0,5.0,0.0,21.0,6.0,5.0,35.0,17.0,2.0,20.0,33.0,7.0,67.0,5.0,22.0,67.0,5.0,10.0,69.0,14.0,58.0,36.0,29.0,42.0,19.0,61.0,55.0,14.0,11.0,52.0,39.0,13.0,48.0,62.0,63.0,38.0,5.0,1.0,24.0,69.0,1.0,3.0,17.0,15.0,5.0,45.0,42.0,2.0,6.0,81.0,15.0,9.0,1.0,11.0,11.0,53.0,12.0,5.0,2.0,3.0,3.0,34.0,311903529.0,201157.0,20001.43,176589.0
141,High,2021-04-30,38.0,77.0,34.0,27.0,61.0,11.0,58.0,27.0,5.0,9.0,8.0,41.0,7.0,9.0,45.0,17.0,3.0,11.0,24.0,11.0,53.0,7.0,26.0,72.0,12.0,16.0,48.0,15.0,69.0,57.0,24.0,43.0,24.0,70.0,55.0,14.0,14.0,47.0,33.0,20.0,58.0,56.0,60.0,38.0,5.0,1.0,24.0,60.0,1.0,6.0,26.0,49.0,14.0,18.0,56.0,6.0,2.0,21.0,12.0,8.0,3.0,56.0,19.0,57.0,12.0,11.0,21.0,2.0,4.0,53.0,261594290.0,2894595.0,36310.0,175078.0
142,High,2021-03-31,40.0,80.0,37.0,28.0,66.0,9.0,64.0,27.0,5.0,9.0,8.0,76.0,12.0,11.0,76.0,18.0,4.0,33.0,26.0,15.0,61.0,10.0,24.0,74.0,14.0,20.0,57.0,23.0,66.0,26.0,28.0,41.0,21.0,63.0,57.0,22.0,28.0,47.0,35.0,15.0,60.0,58.0,70.0,41.0,5.0,1.0,22.0,50.0,2.0,14.0,72.0,69.0,18.0,18.0,60.0,8.0,2.0,9.0,12.0,8.0,5.0,61.0,23.0,46.0,19.0,9.0,10.0,3.0,4.0,22.0,171438706.0,4166614.0,34246.14,177350.0
143,Low,2021-02-28,35.0,80.0,42.0,31.0,60.0,9.0,60.0,25.0,4.0,5.0,9.0,41.0,7.0,9.0,46.0,27.0,4.0,13.0,40.0,9.0,59.0,11.0,26.0,78.0,11.0,19.0,66.0,20.0,64.0,29.0,24.0,50.0,17.0,71.0,60.0,24.0,32.0,46.0,49.0,13.0,66.0,57.0,74.0,46.0,3.0,1.0,22.0,44.0,1.0,16.0,25.0,41.0,10.0,0.0,39.0,8.0,4.0,34.0,14.0,10.0,5.0,28.0,5.0,62.0,14.0,6.0,3.0,12.0,4.0,24.0,87492096.0,853790.0,47505.86,131584.0
144,High,2021-01-31,28.0,79.0,66.0,31.0,60.0,9.0,62.0,26.0,7.0,10.0,13.0,34.0,3.0,12.0,35.0,30.0,4.0,6.0,45.0,7.0,55.0,12.0,25.0,81.0,12.0,27.0,50.0,18.0,63.0,38.0,21.0,46.0,17.0,68.0,59.0,23.0,33.0,44.0,35.0,17.0,63.0,53.0,68.0,49.0,8.0,4.0,21.0,42.0,1.0,10.0,27.0,28.0,56.0,0.0,38.0,16.0,5.0,33.0,16.0,9.0,5.0,21.0,11.0,55.0,22.0,3.0,2.0,8.0,7.0,25.0,37670398.0,458218.0,97234.29,118899.0
145,High,2020-12-31,38.0,74.0,59.0,32.0,49.0,15.0,58.0,32.0,9.0,14.0,33.0,34.0,4.0,10.0,25.0,37.0,8.0,6.0,37.0,12.0,34.0,11.0,24.0,85.0,11.0,43.0,39.0,37.0,62.0,25.0,20.0,55.0,21.0,62.0,58.0,14.0,21.0,40.0,25.0,18.0,52.0,46.0,48.0,38.0,9.0,1.0,20.0,42.0,1.0,57.0,16.0,31.0,53.0,0.0,34.0,35.0,3.0,36.0,13.0,17.0,7.0,16.0,20.0,62.0,10.0,7.0,12.0,10.0,2.0,28.0,5639696.0,419522.0,117859.86,116553.0
146,High,2021-09-20,37.0,97.0,43.0,26.0,65.0,17.0,51.0,31.0,7.0,0.0,4.0,51.0,13.0,7.0,44.0,17.0,4.0,12.0,32.0,16.0,55.0,7.0,26.0,70.0,11.0,30.0,55.0,13.0,56.0,44.0,25.0,42.0,18.0,71.0,63.0,16.0,33.0,49.0,48.0,14.0,66.0,52.0,74.0,50.0,34.0,2.0,22.0,45.0,1.0,2.0,22.0,19.0,15.0,20.0,66.0,14.0,5.0,14.0,12.0,9.0,30.0,35.0,20.0,53.0,18.0,5.0,0.0,2.0,3.0,38.0,391675855.0,684545.0,85338.29,181426.0
147,High,2021-09-19,32.0,80.0,23.0,33.0,59.0,18.0,85.0,30.0,7.0,11.0,5.0,47.0,11.0,8.0,62.0,16.0,3.0,14.0,39.0,9.0,40.0,2.0,24.0,86.0,6.0,32.0,72.0,8.0,56.0,55.0,29.0,42.0,18.0,69.0,60.0,16.0,30.0,50.0,38.0,13.0,65.0,52.0,69.0,54.0,24.0,1.0,22.0,49.0,1.0,2.0,19.0,16.0,28.0,23.0,39.0,21.0,4.0,26.0,15.0,11.0,28.0,28.0,12.0,58.0,10.0,5.0,0.0,2.0,3.0,30.0,390991310.0,303737.0,86550.29,182725.0
148,High,2021-09-18,31.0,78.0,53.0,35.0,54.0,15.0,55.0,31.0,7.0,16.0,14.0,22.0,9.0,6.0,46.0,15.0,3.0,7.0,35.0,7.0,72.0,3.0,20.0,66.0,6.0,29.0,57.0,20.0,76.0,49.0,36.0,43.0,20.0,69.0,53.0,10.0,14.0,44.0,35.0,18.0,67.0,51.0,56.0,46.0,24.0,2.0,29.0,51.0,1.0,2.0,12.0,17.0,51.0,0.0,35.0,14.0,2.0,48.0,16.0,9.0,44.0,20.0,12.0,60.0,10.0,4.0,0.0,2.0,3.0,50.0,390687573.0,519860.0,87671.86,189531.0
149,High,2021-09-17,40.0,88.0,48.0,30.0,58.0,16.0,57.0,31.0,6.0,5.0,9.0,40.0,14.0,9.0,26.0,13.0,4.0,13.0,32.0,14.0,49.0,4.0,19.0,68.0,10.0,28.0,58.0,30.0,75.0,77.0,28.0,41.0,19.0,66.0,56.0,11.0,15.0,46.0,33.0,20.0,72.0,51.0,53.0,43.0,30.0,1.0,25.0,51.0,1.0,3.0,20.0,20.0,26.0,0.0,62.0,11.0,3.0,29.0,13.0,10.0,59.0,39.0,21.0,56.0,18.0,7.0,3.0,2.0,3.0,23.0,390167713.0,898897.0,88745.71,201714.0
150,Low,2021-09-16,33.0,88.0,31.0,29.0,61.0,14.0,56.0,31.0,8.0,19.0,4.0,42.0,15.0,9.0,50.0,14.0,4.0,12.0,31.0,17.0,56.0,5.0,25.0,70.0,11.0,29.0,71.0,27.0,59.0,43.0,28.0,39.0,15.0,67.0,63.0,14.0,26.0,49.0,39.0,19.0,56.0,52.0,71.0,48.0,34.0,2.0,24.0,50.0,1.0,2.0,24.0,21.0,60.0,41.0,66.0,18.0,7.0,28.0,15.0,12.0,37.0,27.0,10.0,48.0,12.0,6.0,0.0,2.0,3.0,27.0,389268816.0,756750.0,89864.71,196745.0
151,High,2021-09-15,44.0,93.0,37.0,25.0,100.0,18.0,57.0,33.0,9.0,5.0,4.0,57.0,20.0,8.0,61.0,14.0,4.0,42.0,28.0,19.0,52.0,6.0,28.0,74.0,12.0,31.0,70.0,18.0,65.0,41.0,25.0,40.0,17.0,69.0,63.0,17.0,19.0,48.0,43.0,21.0,58.0,55.0,78.0,48.0,30.0,2.0,23.0,47.0,1.0,2.0,26.0,21.0,25.0,20.0,69.0,19.0,3.0,14.0,12.0,10.0,34.0,35.0,5.0,46.0,19.0,8.0,1.0,3.0,3.0,58.0,388512066.0,758030.0,90920.29,192059.0
152,High,2021-09-14,40.0,93.0,24.0,25.0,55.0,17.0,54.0,34.0,7.0,24.0,13.0,55.0,20.0,9.0,42.0,13.0,4.0,24.0,30.0,15.0,46.0,5.0,26.0,61.0,12.0,33.0,70.0,19.0,57.0,91.0,27.0,38.0,15.0,71.0,71.0,16.0,24.0,48.0,45.0,17.0,60.0,51.0,78.0,53.0,32.0,2.0,21.0,46.0,1.0,2.0,22.0,23.0,25.0,41.0,66.0,18.0,1.0,23.0,12.0,11.0,43.0,36.0,5.0,45.0,20.0,5.0,0.0,3.0,4.0,24.0,387754036.0,746909.0,91904.71,189798.0
153,High,2021-09-13,31.0,96.0,41.0,26.0,59.0,17.0,55.0,34.0,7.0,0.0,0.0,46.0,20.0,9.0,43.0,14.0,4.0,37.0,30.0,13.0,30.0,7.0,25.0,70.0,12.0,36.0,61.0,14.0,58.0,38.0,26.0,40.0,15.0,68.0,59.0,16.0,22.0,47.0,37.0,14.0,56.0,52.0,72.0,51.0,33.0,2.0,21.0,47.0,1.0,2.0,28.0,21.0,25.0,63.0,68.0,18.0,2.0,10.0,12.0,9.0,47.0,39.0,10.0,45.0,14.0,6.0,1.0,3.0,5.0,32.0,387007127.0,778201.0,92891.14,187778.0
154,High,2021-09-12,40.0,74.0,34.0,32.0,53.0,18.0,88.0,32.0,7.0,0.0,9.0,36.0,11.0,5.0,45.0,15.0,3.0,20.0,39.0,8.0,89.0,5.0,23.0,54.0,6.0,36.0,75.0,20.0,66.0,61.0,31.0,45.0,16.0,72.0,63.0,14.0,23.0,49.0,41.0,16.0,69.0,52.0,68.0,53.0,35.0,2.0,22.0,50.0,1.0,1.0,15.0,17.0,55.0,23.0,40.0,21.0,5.0,26.0,14.0,7.0,36.0,21.0,17.0,50.0,16.0,3.0,0.0,4.0,4.0,26.0,386228926.0,349199.0,93397.43,191561.0
155,High,2021-09-11,31.0,75.0,27.0,34.0,50.0,17.0,54.0,31.0,5.0,17.0,19.0,33.0,19.0,6.0,63.0,15.0,3.0,28.0,44.0,11.0,32.0,3.0,25.0,65.0,6.0,31.0,70.0,17.0,78.0,44.0,42.0,46.0,21.0,69.0,53.0,9.0,17.0,47.0,37.0,21.0,74.0,48.0,56.0,42.0,30.0,2.0,26.0,51.0,1.0,1.0,23.0,22.0,45.0,0.0,33.0,12.0,4.0,11.0,13.0,7.0,33.0,19.0,6.0,48.0,18.0,5.0,0.0,4.0,5.0,58.0,385879727.0,595477.0,93928.0,196346.0
156,High,2021-09-10,36.0,85.0,46.0,27.0,51.0,19.0,54.0,31.0,7.0,15.0,18.0,44.0,31.0,6.0,38.0,14.0,4.0,6.0,36.0,13.0,55.0,4.0,23.0,68.0,10.0,31.0,78.0,18.0,77.0,85.0,58.0,42.0,19.0,63.0,56.0,10.0,10.0,47.0,34.0,24.0,58.0,51.0,55.0,43.0,31.0,1.0,25.0,54.0,1.0,2.0,29.0,25.0,20.0,43.0,63.0,18.0,5.0,24.0,12.0,10.0,54.0,38.0,22.0,53.0,15.0,10.0,0.0,3.0,12.0,22.0,385284250.0,1030602.0,94358.71,212065.0
157,Low,2021-09-09,37.0,88.0,48.0,28.0,54.0,16.0,52.0,34.0,7.0,5.0,4.0,68.0,20.0,9.0,60.0,17.0,4.0,56.0,55.0,16.0,31.0,6.0,27.0,64.0,12.0,34.0,69.0,16.0,68.0,32.0,33.0,42.0,16.0,61.0,63.0,15.0,27.0,48.0,33.0,18.0,64.0,49.0,71.0,54.0,49.0,2.0,21.0,50.0,1.0,2.0,26.0,22.0,25.0,0.0,66.0,16.0,1.0,10.0,12.0,9.0,70.0,27.0,5.0,53.0,12.0,10.0,1.0,3.0,10.0,24.0,384253648.0,843846.0,94666.86,200803.0
158,High,2021-09-08,32.0,89.0,34.0,24.0,59.0,18.0,55.0,34.0,8.0,5.0,8.0,51.0,16.0,9.0,44.0,14.0,4.0,30.0,54.0,19.0,47.0,7.0,24.0,65.0,12.0,39.0,93.0,27.0,55.0,41.0,29.0,39.0,16.0,67.0,63.0,16.0,29.0,47.0,36.0,18.0,62.0,53.0,64.0,49.0,65.0,2.0,21.0,49.0,1.0,2.0,25.0,20.0,29.0,0.0,68.0,24.0,5.0,5.0,11.0,8.0,72.0,36.0,10.0,50.0,17.0,10.0,0.0,2.0,3.0,54.0,383409802.0,841861.0,94958.43,201902.0
159,High,2021-09-07,43.0,97.0,45.0,23.0,58.0,18.0,56.0,36.0,7.0,5.0,13.0,82.0,14.0,8.0,63.0,15.0,5.0,37.0,40.0,14.0,47.0,7.0,22.0,67.0,12.0,41.0,75.0,15.0,55.0,92.0,26.0,38.0,17.0,67.0,67.0,14.0,15.0,50.0,40.0,16.0,64.0,58.0,72.0,49.0,81.0,2.0,23.0,52.0,1.0,2.0,23.0,16.0,30.0,0.0,62.0,17.0,2.0,23.0,12.0,7.0,69.0,28.0,21.0,45.0,18.0,7.0,1.0,2.0,3.0,24.0,382567941.0,905838.0,95145.29,194582.0
160,High,2021-09-06,31.0,80.0,26.0,37.0,50.0,16.0,51.0,35.0,5.0,16.0,0.0,36.0,10.0,5.0,31.0,16.0,4.0,20.0,39.0,9.0,74.0,5.0,21.0,58.0,6.0,43.0,73.0,20.0,60.0,43.0,26.0,39.0,14.0,67.0,59.0,14.0,18.0,49.0,37.0,17.0,71.0,53.0,66.0,48.0,74.0,2.0,22.0,53.0,1.0,2.0,15.0,15.0,44.0,0.0,37.0,27.0,6.0,41.0,14.0,8.0,73.0,18.0,0.0,43.0,14.0,1.0,1.0,2.0,3.0,35.0,381662103.0,176296.0,95282.29,189465.0
161,High,2021-09-05,27.0,76.0,52.0,39.0,46.0,18.0,87.0,33.0,6.0,0.0,5.0,49.0,11.0,3.0,40.0,16.0,4.0,14.0,39.0,9.0,67.0,5.0,22.0,61.0,6.0,36.0,65.0,19.0,77.0,45.0,28.0,45.0,19.0,68.0,55.0,10.0,18.0,46.0,38.0,18.0,48.0,58.0,55.0,46.0,62.0,2.0,29.0,61.0,1.0,1.0,15.0,17.0,64.0,0.0,36.0,24.0,5.0,77.0,14.0,9.0,70.0,22.0,6.0,50.0,13.0,3.0,1.0,3.0,3.0,27.0,381485807.0,365855.0,95472.71,183209.0
162,High,2021-09-04,26.0,69.0,28.0,47.0,42.0,16.0,45.0,35.0,7.0,11.0,15.0,34.0,14.0,6.0,40.0,14.0,4.0,15.0,35.0,9.0,70.0,3.0,21.0,65.0,6.0,36.0,48.0,22.0,69.0,42.0,27.0,42.0,21.0,65.0,53.0,7.0,10.0,46.0,31.0,21.0,72.0,55.0,50.0,46.0,67.0,2.0,26.0,66.0,1.0,2.0,24.0,22.0,59.0,0.0,37.0,20.0,0.0,39.0,14.0,11.0,95.0,19.0,12.0,41.0,12.0,2.0,0.0,2.0,3.0,53.0,381119952.0,559574.0,95617.57,197968.0
163,High,2021-09-03,28.0,77.0,39.0,31.0,49.0,15.0,48.0,33.0,7.0,15.0,4.0,47.0,14.0,8.0,62.0,13.0,4.0,25.0,31.0,13.0,29.0,5.0,21.0,57.0,9.0,36.0,63.0,22.0,76.0,83.0,28.0,41.0,18.0,61.0,56.0,8.0,12.0,48.0,31.0,25.0,57.0,51.0,56.0,47.0,74.0,1.0,28.0,64.0,1.0,2.0,26.0,20.0,72.0,0.0,54.0,20.0,2.0,44.0,12.0,9.0,90.0,22.0,11.0,53.0,13.0,4.0,0.0,2.0,3.0,22.0,380560378.0,1038870.0,95618.57,214456.0
164,Low,2021-11-29,37.0,87.0,48.0,24.0,66.0,19.0,67.0,31.0,15.0,5.0,4.0,67.0,12.0,10.0,51.0,26.0,3.0,40.0,32.0,14.0,47.0,4.0,26.0,61.0,9.0,27.0,50.0,19.0,67.0,62.0,23.0,42.0,17.0,74.0,77.0,23.0,30.0,43.0,38.0,19.0,65.0,55.0,71.0,48.0,13.0,1.0,20.0,37.0,1.0,1.0,23.0,12.0,28.0,20.0,75.0,11.0,3.0,4.0,12.0,7.0,8.0,35.0,5.0,58.0,8.0,8.0,0.0,2.0,2.0,22.0,468470506.0,1639157.0,47761.86,187450.0
165,High,2021-10-30,36.0,71.0,30.0,35.0,48.0,12.0,47.0,28.0,8.0,5.0,9.0,14.0,7.0,8.0,45.0,13.0,2.0,0.0,35.0,8.0,69.0,2.0,23.0,58.0,5.0,14.0,49.0,24.0,77.0,56.0,27.0,44.0,19.0,66.0,58.0,10.0,13.0,45.0,32.0,25.0,74.0,49.0,55.0,37.0,10.0,1.0,24.0,37.0,1.0,1.0,10.0,12.0,28.0,0.0,37.0,10.0,4.0,41.0,15.0,9.0,9.0,26.0,17.0,63.0,11.0,4.0,0.0,3.0,3.0,51.0,428543838.0,812556.0,44019.86,168544.0
166,High,2021-09-29,38.0,86.0,53.0,23.0,62.0,19.0,49.0,31.0,8.0,14.0,17.0,63.0,10.0,8.0,53.0,15.0,3.0,24.0,33.0,17.0,66.0,4.0,25.0,61.0,11.0,26.0,73.0,23.0,55.0,41.0,27.0,38.0,19.0,67.0,63.0,20.0,30.0,47.0,44.0,17.0,46.0,59.0,75.0,51.0,17.0,1.0,21.0,45.0,2.0,2.0,21.0,18.0,34.0,0.0,70.0,10.0,3.0,19.0,12.0,11.0,22.0,23.0,10.0,42.0,15.0,8.0,0.0,2.0,3.0,56.0,399000711.0,1128365.0,73498.29,199333.0
167,High,2021-08-30,23.0,86.0,38.0,26.0,66.0,16.0,53.0,36.0,7.0,14.0,4.0,36.0,21.0,8.0,48.0,18.0,5.0,6.0,33.0,14.0,62.0,8.0,22.0,61.0,11.0,41.0,75.0,14.0,63.0,39.0,28.0,39.0,18.0,63.0,66.0,13.0,17.0,47.0,40.0,14.0,56.0,57.0,63.0,47.0,60.0,3.0,24.0,63.0,1.0,2.0,29.0,23.0,42.0,20.0,59.0,19.0,4.0,18.0,11.0,10.0,67.0,21.0,10.0,45.0,18.0,3.0,0.0,3.0,5.0,33.0,376773966.0,923190.0,94705.0,178728.0
168,High,2021-07-30,47.0,77.0,10.0,36.0,48.0,14.0,54.0,30.0,5.0,9.0,12.0,52.0,43.0,6.0,23.0,10.0,3.0,23.0,30.0,11.0,43.0,5.0,23.0,71.0,8.0,32.0,72.0,29.0,70.0,73.0,28.0,47.0,20.0,61.0,58.0,9.0,11.0,49.0,67.0,11.0,63.0,64.0,57.0,42.0,15.0,2.0,28.0,73.0,1.0,2.0,31.0,23.0,24.0,0.0,54.0,17.0,4.0,13.0,12.0,15.0,18.0,15.0,24.0,55.0,12.0,3.0,1.0,2.0,3.0,23.0,353060033.0,834574.0,37561.29,210937.0
169,High,2021-06-29,30.0,81.0,26.0,23.0,51.0,14.0,60.0,26.0,3.0,14.0,8.0,66.0,7.0,13.0,42.0,15.0,2.0,12.0,28.0,15.0,49.0,7.0,26.0,67.0,11.0,10.0,77.0,19.0,55.0,55.0,28.0,43.0,17.0,59.0,62.0,14.0,11.0,52.0,59.0,12.0,62.0,72.0,71.0,37.0,13.0,1.0,24.0,69.0,1.0,3.0,14.0,16.0,10.0,61.0,55.0,3.0,0.0,27.0,14.0,8.0,7.0,19.0,10.0,59.0,22.0,2.0,2.0,3.0,2.0,20.0,336518606.0,626878.0,12166.86,184606.0
170,Low,2021-05-30,37.0,72.0,26.0,28.0,50.0,10.0,55.0,24.0,4.0,0.0,14.0,21.0,8.0,5.0,47.0,16.0,2.0,0.0,37.0,8.0,63.0,5.0,21.0,71.0,6.0,9.0,59.0,11.0,70.0,47.0,37.0,48.0,25.0,68.0,51.0,12.0,7.0,49.0,38.0,15.0,72.0,65.0,54.0,33.0,4.0,1.0,25.0,80.0,1.0,3.0,15.0,18.0,27.0,0.0,34.0,2.0,2.0,51.0,14.0,10.0,5.0,13.0,0.0,50.0,17.0,5.0,2.0,3.0,3.0,28.0,311702372.0,383823.0,20527.14,168483.0
171,High,2021-04-29,40.0,83.0,50.0,24.0,64.0,11.0,58.0,31.0,5.0,0.0,8.0,51.0,12.0,11.0,47.0,16.0,3.0,22.0,28.0,12.0,43.0,9.0,28.0,68.0,14.0,15.0,62.0,16.0,55.0,67.0,25.0,40.0,18.0,68.0,59.0,24.0,32.0,47.0,38.0,17.0,64.0,55.0,68.0,43.0,5.0,1.0,21.0,51.0,1.0,6.0,27.0,54.0,14.0,38.0,62.0,5.0,1.0,13.0,13.0,8.0,6.0,52.0,0.0,51.0,8.0,6.0,10.0,3.0,10.0,34.0,258699695.0,3031901.0,36765.29,171083.0
172,High,2021-03-30,37.0,87.0,42.0,30.0,66.0,9.0,62.0,27.0,6.0,5.0,8.0,55.0,13.0,11.0,67.0,19.0,4.0,18.0,26.0,15.0,58.0,15.0,28.0,78.0,15.0,20.0,52.0,23.0,62.0,30.0,26.0,43.0,21.0,65.0,63.0,20.0,26.0,47.0,37.0,14.0,58.0,56.0,72.0,43.0,5.0,1.0,22.0,49.0,1.0,16.0,86.0,61.0,19.0,59.0,57.0,9.0,4.0,26.0,12.0,7.0,11.0,61.0,10.0,53.0,11.0,4.0,9.0,3.0,3.0,23.0,167272092.0,3588425.0,34064.71,178798.0
173,High,2021-02-27,22.0,75.0,18.0,36.0,53.0,9.0,60.0,25.0,4.0,5.0,9.0,37.0,3.0,11.0,34.0,25.0,4.0,32.0,38.0,9.0,60.0,7.0,23.0,77.0,12.0,18.0,68.0,37.0,72.0,29.0,24.0,51.0,22.0,73.0,56.0,13.0,15.0,41.0,42.0,16.0,61.0,59.0,61.0,41.0,3.0,1.0,25.0,46.0,1.0,25.0,55.0,45.0,26.0,22.0,37.0,5.0,2.0,29.0,15.0,13.0,4.0,38.0,11.0,75.0,22.0,4.0,3.0,6.0,6.0,23.0,86638306.0,1992656.0,48810.29,135380.0
