,Multi_Class,Search Date,MRNA_Open,MRNA_Close,MRNA_Difference,MRNA_Volume,JNJ_Open,JNJ_Close,JNJ_Difference,JNJ_Volume,BTNX_Open,BTNX_Close,BTNX_Difference,BTNX_Volume,DJIA_Open,DJIA_Close,DJIA_Difference,DJIA_Volume,PFE_Open,PFE_Close,PFE_Difference,PFE_Volume,Total Doses Administered,Daily Increase,Current Hospitalized COVID-19 Patients,Number of Flights
123,550-1698,2021-10-13,314.9,321.5,-6.6,12770600.0,157.82,159.2,-1.38,6901100.0,247.07,249.4,-2.33,1437700.0,"34,372.71","34,377.81",-5.1,"316,220,000",41.75,41.42,0.33,28205700.0,411057740.0,893909.0,56630.57,191916.0
124,1699-5000,2021-10-12,313.04,311.13,1.9,10193200.0,160.0,157.69,2.31,6686400.0,247.73,243.77,3.96,1292000.0,"34,507.15","34,378.34",128.81,"319,010,000",42.16,41.85,0.31,16222300.0,410163831.0,916103.0,57541.86,181111.0
125,1699-5000,2021-10-11,299.32,305.1,-5.78,7625800.0,160.86,160.25,0.61,4101600.0,244.0,243.02,0.98,1244400.0,"34,723.79","34,496.06",227.73,"256,820,000",42.45,42.06,0.39,11984200.0,409247728.0,847360.0,58457.57,181367.0
126,1699-5000,2021-10-10,,,,,,,,,,,,,,,,,,,,,,,,
127,1699-5000,2021-10-09,,,,,,,,,,,,,,,,,,,,,,,,
128,1699-5000,2021-10-08,310.8,304.91,5.89,10620500.0,161.32,160.93,0.39,4343200.0,252.03,245.95,6.08,1913300.0,"34,757.57","34,746.25",11.32,"238,080,000",42.73,42.45,0.28,12770200.0,407556229.0,1131807.0,61720.86,201562.0
129,550-1698,2021-10-07,295.46,309.36,-13.9,15791000.0,160.02,161.34,-1.32,5309200.0,235.8,246.57,-10.77,2585500.0,"34,509.72","34,754.94",-245.22,"273,290,000",42.52,42.74,-0.22,19778300.0,406424422.0,996439.0,62900.86,198249.0
130,550-1698,2021-10-06,318.71,302.42,16.29,17457400.0,159.87,159.91,-0.04,7312600.0,246.96,236.14,10.82,2434200.0,"34,198.96","34,416.99",-218.03,"322,170,000",42.06,42.02,0.04,30483800.0,405427983.0,1019897.0,63901.29,189058.0
131,1699-5000,2021-10-05,331.0,332.11,-1.11,11637500.0,159.86,159.58,0.28,5129000.0,253.95,250.12,3.83,2038500.0,"34,035.25","34,314.67",-279.42,"311,520,000",42.53,42.32,0.21,19342600.0,404408086.0,1005063.0,65086.14,181512.0
132,1699-5000,2021-10-04,308.88,325.84,-16.96,23331500.0,159.99,159.22,0.77,8620700.0,234.93,248.9,-13.97,3719000.0,"34,312.96","34,002.92",310.04,"396,860,000",42.93,42.42,0.51,28906500.0,403403023.0,973235.0,66364.57,177405.0
133,1699-5000,2021-10-03,,,,,,,,,,,,,,,,,,,,,,,,
134,1699-5000,2021-11-30,351.58,352.43,-0.85,25159300.0,158.51,155.93,2.58,14981700.0,335.6,351.74,-16.14,4732500.0,"35,056.99","34,483.72",573.27,"678,800,000",52.31,53.73,-1.42,64598400.0,470365239.0,1894733.0,48498.71,188234.0
135,550-1698,2021-10-31,,,,,,,,,,,,,,,,,,,,,,,,
136,550-1698,2021-09-30,381.82,384.86,-3.04,9611500.0,164.64,161.5,3.14,6972300.0,278.14,272.99,5.15,2632600.0,"34,467.98","33,843.92",624.06,"354,830,000",43.79,43.01,0.78,21103300.0,400149891.0,1149180.0,71942.14,202142.0
137,1699-5000,2021-08-31,375.91,376.69,-0.78,10922500.0,173.49,173.13,0.36,7106800.0,340.26,329.19,11.07,3327500.0,"35,391.38","35,360.73",30.65,"337,240,000",46.72,46.07,0.65,34547800.0,377698988.0,925022.0,94956.43,187106.0
138,1699-5000,2021-07-31,,,,,,,,,,,,,,,,,,,,,,,,
139,1699-5000,2021-06-30,237.98,234.98,3.0,9319100.0,164.0,164.74,-0.74,6151700.0,228.0,223.88,4.12,1763900.0,"34,290.74","34,502.51",-211.77,"295,560,000",39.14,39.16,-0.02,21248100.0,337148762.0,630156.0,12213.86,190842.0
140,1699-5000,2021-05-31,,,,,,,,,,,,,,,,,,,,,,,,
141,1699-5000,2021-04-30,175.59,178.82,-3.23,9495200.0,164.15,162.73,1.42,9079100.0,183.3,188.28,-4.98,3505800.0,"33,988.75","33,874.85",113.9,"374,890,000",38.5,38.65,-0.15,28413200.0,261594290.0,2894595.0,36310.0,175078.0
142,1699-5000,2021-03-31,121.1,130.95,-9.85,10015700.0,164.96,164.35,0.61,8281500.0,109.47,109.19,0.28,2178900.0,"33,116.04","32,981.55",134.49,"414,140,000",36.15,36.23,-0.08,26582700.0,171438706.0,4166614.0,34246.14,177350.0
143,1699-5000,2021-02-28,,,,,,,,,,,,,,,,,,,,,,,,
144,1699-5000,2021-01-31,,,,,,,,,,,,,,,,,,,,,,,,
145,1699-5000,2020-12-31,110.55,104.47,6.08,23369900.0,156.53,157.38,-0.85,5099900.0,83.38,81.52,1.86,2607100.0,"30,417.64","30,606.48",-188.84,"284,470,000",36.66,36.81,-0.15,30796500.0,5639696.0,419522.0,117859.86,116553.0
146,1699-5000,2021-09-20,417.51,423.33,-5.82,12929400.0,163.48,163.81,-0.33,7270800.0,341.2,339.01,2.19,3322100.0,"34,459.72","33,970.47",489.25,"435,780,000",43.39,44.2,-0.81,41873000.0,391675855.0,684545.0,85338.29,181426.0
147,1699-5000,2021-09-19,,,,,,,,,,,,,,,,,,,,,,,,
148,1699-5000,2021-09-18,,,,,,,,,,,,,,,,,,,,,,,,
149,1699-5000,2021-09-17,438.53,430.05,8.48,30536400.0,164.3,164.75,-0.45,13419800.0,370.74,359.18,11.56,5646200.0,"34,737.86","34,584.88",152.98,"560,630,000",44.17,43.89,0.28,56370500.0,390167713.0,898897.0,88745.71,201714.0
150,1699-5000,2021-09-16,431.21,440.65,-9.44,10107400.0,165.65,165.22,0.43,5665400.0,350.39,372.65,-22.26,4606800.0,"34,810.27","34,751.32",58.95,"278,270,000",44.88,44.47,0.41,22424200.0,389268816.0,756750.0,89864.71,196745.0
151,1699-5000,2021-09-15,427.45,434.46,-7.01,12893600.0,165.0,165.42,-0.42,7935300.0,338.11,355.25,-17.14,4545800.0,"34,580.95","34,814.39",-233.44,"317,490,000",44.56,44.77,-0.21,28674600.0,388512066.0,758030.0,90920.29,192059.0
152,1699-5000,2021-09-14,419.27,427.71,-8.44,14736500.0,166.4,164.8,1.6,5259600.0,326.17,334.88,-8.71,2850000.0,"34,906.90","34,577.57",329.33,"325,140,000",44.67,44.71,-0.04,24100200.0,387754036.0,746909.0,91904.71,189798.0
153,1699-5000,2021-09-13,448.0,419.72,28.28,15664700.0,167.92,165.8,2.12,6273500.0,348.19,327.14,21.05,3963800.0,"34,665.50","34,869.63",-204.13,"334,190,000",45.74,44.58,1.16,37086200.0,387007127.0,778201.0,92891.14,187778.0
154,1699-5000,2021-09-12,,,,,,,,,,,,,,,,,,,,,,,,
155,1699-5000,2021-09-11,,,,,,,,,,,,,,,,,,,,,,,,
156,1699-5000,2021-09-10,463.16,449.38,13.78,12583500.0,168.55,166.97,1.58,6696100.0,360.0,349.19,10.81,3033200.0,"34,949.59","34,607.72",341.87,"333,230,000",46.27,45.59,0.68,20783700.0,385284250.0,1030602.0,94358.71,212065.0
157,1699-5000,2021-09-09,429.93,455.92,-25.99,22189600.0,171.19,168.07,3.12,7114600.0,338.29,351.38,-13.09,3210700.0,"35,013.08","34,879.38",133.7,"261,330,000",46.47,46.03,0.44,21695300.0,384253648.0,843846.0,94666.86,200803.0
158,1699-5000,2021-09-08,433.72,422.9,10.82,11477800.0,171.62,171.9,-0.28,4661700.0,346.21,336.24,9.97,2354600.0,"35,087.45","35,031.07",56.38,"261,880,000",46.51,46.51,0.0,15839600.0,383409802.0,841861.0,94958.43,201902.0
159,1699-5000,2021-09-07,409.5,436.39,-26.89,15995100.0,174.35,172.32,2.03,6859900.0,334.54,346.61,-12.07,2478000.0,"35,373.24","35,100.00",273.24,"289,830,000",46.99,46.75,0.24,26236900.0,382567941.0,905838.0,95145.29,194582.0
160,1699-5000,2021-09-06,,,,,,,,,,,,,,,,,,,,,,,,
161,1699-5000,2021-09-05,,,,,,,,,,,,,,,,,,,,,,,,
162,1699-5000,2021-09-04,,,,,,,,,,,,,,,,,,,,,,,,
163,1699-5000,2021-09-03,392.71,416.7,-23.99,13835300.0,175.1,175.04,0.06,4096900.0,328.49,334.3,-5.81,2238400.0,"35,401.73","35,369.09",32.64,"221,370,000",46.9,46.84,0.06,20817200.0,380560378.0,1038870.0,95618.57,214456.0
164,1699-5000,2021-11-29,370.33,368.51,1.82,33950600.0,159.5,159.75,-0.25,9188500.0,369.5,362.52,6.98,6067600.0,"35,017.71","35,135.94",-118.23,"416,040,000",55.15,52.4,2.75,72660800.0,468470506.0,1639157.0,47761.86,187450.0
165,1699-5000,2021-10-30,,,,,,,,,,,,,,,,,,,,,,,,
166,1699-5000,2021-09-29,393.21,378.9,14.31,11416700.0,163.0,164.02,-1.02,5124100.0,287.0,277.44,9.56,2776300.0,"34,360.08","34,390.72",-30.64,"290,350,000",43.22,43.53,-0.31,18037200.0,399000711.0,1128365.0,73498.29,199333.0
167,1699-5000,2021-08-30,369.0,370.69,-1.69,15529800.0,172.79,173.66,-0.87,3252700.0,351.0,345.0,6.0,3010000.0,"35,471.80","35,399.84",71.96,"245,390,000",46.2,46.76,-0.56,25774400.0,376773966.0,923190.0,94705.0,178728.0
168,1699-5000,2021-07-30,346.9,353.6,-6.7,11331200.0,172.54,172.2,0.34,5346400.0,315.01,328.35,-13.34,4025200.0,"35,013.26","34,935.47",77.79,"276,410,000",42.88,42.81,0.07,24753900.0,353060033.0,834574.0,37561.29,210937.0
169,1699-5000,2021-06-29,221.19,234.46,-13.27,11417000.0,164.0,164.03,-0.03,3749500.0,226.3,228.06,-1.76,1669900.0,"34,338.89","34,292.29",46.6,"282,360,000",39.13,39.1,0.03,14516600.0,336518606.0,626878.0,12166.86,184606.0
170,1699-5000,2021-05-30,,,,,,,,,,,,,,,,,,,,,,,,
171,1699-5000,2021-04-29,183.33,175.67,7.66,8362700.0,161.9,164.2,-2.3,6394300.0,180.58,179.65,0.93,2072700.0,"33,855.64","34,060.36",-204.72,"408,450,000",38.99,38.6,0.39,23569400.0,258699695.0,3031901.0,36765.29,171083.0
172,1699-5000,2021-03-30,123.15,118.49,4.66,11061600.0,165.02,165.01,0.01,7236300.0,99.8,104.44,-4.64,3464000.0,"33,127.88","33,066.96",60.92,"307,510,000",36.59,36.11,0.48,26303300.0,167272092.0,3588425.0,34064.71,178798.0
173,1699-5000,2021-02-27,,,,,,,,,,,,,,,,,,,,,,,,
174,1699-5000,2021-01-30,,,,,,,,,,,,,,,,,,,,,,,,
175,1699-5000,2020-12-30,118.4,111.13,7.27,23965500.0,154.74,156.05,-1.31,5412800.0,90.0,83.94,6.06,2941100.0,"30,415.09","30,409.56",5.53,"291,890,000",37.03,36.74,0.29,24889800.0,5220174.0,842233.0,116887.14,142838.0
176,1699-5000,2021-08-21,,,,,,,,,,,,,,,,,,,,,,,,
177,1699-5000,2021-08-20,374.55,382.98,-8.43,13110800.0,178.89,179.44,-0.55,5425300.0,336.35,348.68,-12.33,3878200.0,"34,917.96","35,120.08",-202.12,"269,320,000",48.98,48.72,0.26,34257900.0,368672133.0,1105135.0,84685.57,204264.0
178,1699-5000,2021-08-19,385.0,375.53,9.47,14254700.0,176.62,178.57,-1.95,5615000.0,348.7,331.81,16.89,4638900.0,"34,874.67","34,894.12",-19.45,"333,550,000",48.5,48.8,-0.3,57741600.0,367566998.0,943137.0,83051.71,194967.0
179,1699-5000,2021-08-18,406.5,398.8,7.7,19121800.0,179.5,177.19,2.31,7134100.0,368.46,363.99,4.47,4801600.0,"35,310.20","34,960.69",349.51,"289,800,000",50.23,49.31,0.92,88598000.0,366623861.0,950938.0,81295.29,185163.0
180,1699-5000,2021-08-17,361.0,401.86,-40.86,25982100.0,177.31,179.47,-2.16,6041900.0,322.0,366.27,-44.27,8101600.0,"35,500.01","35,343.28",156.73,"309,410,000",48.78,50.42,-1.64,68817000.0,365672923.0,921985.0,79349.43,178096.0
181,1699-5000,2021-08-16,379.27,373.86,5.41,23403400.0,176.55,177.84,-1.29,4782800.0,368.17,343.1,25.07,7979400.0,"35,490.83","35,625.40",-134.57,"292,590,000",48.23,48.91,-0.68,38045800.0,364750938.0,868667.0,77344.86,178550.0
182,1699-5000,2021-08-15,,,,,,,,,,,,,,,,,,,,,,,,
183,1699-5000,2021-08-14,,,,,,,,,,,,,,,,,,,,,,,,
184,1699-5000,2021-08-13,405.24,389.78,15.46,16501700.0,175.29,176.25,-0.96,5881600.0,387.14,377.32,9.82,3684000.0,"35,551.56","35,515.38",36.18,"236,790,000",47.41,48.48,-1.07,35341200.0,362859233.0,946875.0,70863.86,206789.0
185,550-1698,2021-08-12,400.0,391.42,8.58,34310000.0,173.82,175.2,-1.38,4300400.0,380.0,374.02,5.98,7258200.0,"35,481.94","35,499.85",-17.91,"231,600,000",46.5,47.24,-0.74,29676400.0,361912358.0,801724.0,68536.43,209209.0
186,1699-5000,2021-08-11,443.57,385.33,58.24,53882200.0,174.25,173.8,0.45,4221300.0,413.9,359.19,54.71,14583700.0,"35,300.89","35,484.97",-184.08,"232,800,000",47.78,46.31,1.47,50878200.0,361110634.0,767872.0,66096.43,205304.0
187,1699-5000,2021-08-10,485.5,456.76,28.74,36503700.0,173.26,173.77,-0.51,3678300.0,458.0,416.5,41.5,8240500.0,"35,135.17","35,264.67",-129.5,"255,040,000",46.2,48.19,-1.99,81189400.0,360342762.0,798102.0,63583.0,193777.0
188,1699-5000,2021-08-09,411.3,484.47,-73.17,42269900.0,173.72,173.71,0.01,3950200.0,408.23,447.23,-39.0,12022600.0,"35,229.67","35,101.85",127.82,"207,850,000",45.11,45.98,-0.87,32374300.0,359544660.0,781283.0,61044.14,185334.0
189,1699-5000,2021-08-08,,,,,,,,,,,,,,,,,,,,,,,,
190,1699-5000,2021-08-07,,,,,,,,,,,,,,,,,,,,,,,,
191,550-1698,2021-08-06,410.3,413.72,-3.42,18906600.0,173.94,173.11,0.83,4580600.0,396.0,389.01,6.99,5688400.0,"35,077.44","35,208.51",-131.07,"231,570,000",45.09,45.07,0.02,20396300.0,357856037.0,906884.0,53618.0,202733.0
192,550-1698,2021-08-05,409.72,416.26,-6.54,25571500.0,173.85,173.69,0.16,4291000.0,406.5,404.92,1.58,7334000.0,"34,815.61","35,064.25",-248.64,"216,580,000",45.0,45.06,-0.06,23505400.0,356949153.0,791882.0,51143.43,203066.0
193,550-1698,2021-08-04,385.0,419.05,-34.05,32251600.0,174.2,173.36,0.84,4793100.0,361.0,414.44,-53.44,13700500.0,"35,047.44","34,792.67",254.77,"245,300,000",45.35,45.19,0.16,43391200.0,356157271.0,777016.0,48686.86,203342.0
194,1699-5000,2021-08-03,348.5,386.51,-38.01,20424100.0,172.73,174.39,-1.66,6033000.0,341.01,351.81,-10.8,4139900.0,"34,864.10","35,116.40",-252.3,"259,820,000",44.17,45.68,-1.51,45643300.0,355380255.0,761450.0,46354.71,197662.0
195,1699-5000,2021-11-28,,,,,,,,,,,,,,,,,,,,,,,,
196,550-1698,2021-10-29,344.47,345.21,-0.74,4459000.0,162.35,162.88,-0.53,8526400.0,283.75,278.73,5.02,1462600.0,"35,712.28","35,819.56",-107.28,"399,400,000",43.09,43.74,-0.65,30257400.0,427731282.0,1766349.0,44536.14,187891.0
197,1699-5000,2021-09-28,398.56,384.21,14.35,15936000.0,163.1,162.81,0.29,7610400.0,293.7,276.52,17.18,5854400.0,"34,747.70","34,299.99",447.71,"379,020,000",43.07,43.04,0.03,28512200.0,397872346.0,1121550.0,74930.71,191995.0
198,550-1698,2021-08-29,,,,,,,,,,,,,,,,,,,,,,,,
199,0-549,2021-07-29,350.64,345.64,5.0,10100700.0,172.74,172.18,0.56,4214100.0,327.79,312.59,15.2,4094200.0,"34,985.99","35,084.53",-98.54,"222,680,000",43.23,42.79,0.44,29015000.0,352225459.0,719645.0,35550.14,211471.0
200,550-1698,2021-06-28,223.0,222.94,0.06,6190600.0,164.44,164.02,0.42,5604000.0,230.56,228.44,2.12,1508700.0,"34,428.10","34,283.27",144.83,"280,280,000",39.01,39.12,-0.11,19225700.0,335891728.0,552580.0,12145.29,187672.0
201,550-1698,2021-05-29,,,,,,,,,,,,,,,,,,,,,,,,
202,550-1698,2021-04-28,182.37,178.68,3.69,8375400.0,162.86,161.98,0.88,7448000.0,171.98,175.77,-3.79,1507200.0,"33,860.46","33,820.38",40.08,"335,820,000",38.54,38.81,-0.27,21963300.0,255667794.0,3066883.0,37223.29,176920.0
203,550-1698,2021-03-29,130.11,123.42,6.69,10814800.0,163.83,166.04,-2.21,8535100.0,97.54,95.91,1.63,1066200.0,"33,087.55","33,171.37",-83.82,"351,610,000",36.03,36.62,-0.59,27004800.0,163683667.0,2834983.0,33867.0,166983.0
204,550-1698,2021-02-26,157.98,154.81,3.17,13445200.0,162.0,158.46,3.54,14417500.0,113.9,109.03,4.87,1028600.0,"31,401.29","30,932.37",468.92,"532,250,000",33.84,33.49,0.35,41462800.0,84645650.0,3110214.0,50157.14,165237.0
205,550-1698,2021-01-29,174.99,173.16,1.83,39687300.0,164.26,163.13,1.13,22505900.0,114.94,116.94,-2.0,6622800.0,"30,553.91","29,982.62",571.29,"536,320,000",36.88,35.9,0.98,60251900.0,36195259.0,1911845.0,101628.0,146372.0
206,0-549,2020-12-29,107.8,114.39,-6.59,23718800.0,154.11,154.14,-0.03,5212000.0,84.45,88.28,-3.83,3300400.0,"30,492.07","30,335.67",156.4,"357,610,000",36.9,37.05,-0.15,23152100.0,4377941.0,721091.0,116085.0,143506.0
207,0-549,2021-07-21,298.51,321.11,-22.6,30859300.0,169.3,169.49,-0.19,7585200.0,244.95,259.61,-14.66,5335300.0,"34,556.96","34,798.00",-241.04,"317,090,000",41.24,41.02,0.22,27530200.0,347323204.0,630849.0,22865.43,204830.0
208,0-549,2021-07-20,318.22,307.33,10.89,123115500.0,166.9,168.45,-1.55,9902800.0,240.93,245.17,-4.24,6604900.0,"33,981.79","34,511.99",-530.2,"387,020,000",40.25,41.05,-0.8,48804100.0,346692355.0,603726.0,21738.71,201534.0
209,0-549,2021-07-19,284.54,313.59,-29.05,35526800.0,166.48,166.88,-0.4,8219700.0,228.0,242.64,-14.64,5147300.0,"34,528.48","33,962.04",566.44,"440,440,000",40.07,40.15,-0.08,29818400.0,346088629.0,567846.0,20656.71,197066.0
210,0-549,2021-07-18,,,,,,,,,,,,,,,,,,,,,,,,
211,0-549,2021-07-17,,,,,,,,,,,,,,,,,,,,,,,,
212,0-549,2021-07-16,276.92,286.43,-9.51,41397300.0,168.34,168.1,0.24,5834900.0,225.08,231.47,-6.39,5050000.0,"35,007.94","34,687.85",320.09,"322,980,000",40.14,40.35,-0.21,24270400.0,344887009.0,624760.0,17977.57,210714.0
213,0-549,2021-07-15,246.66,259.67,-13.01,15130800.0,169.3,168.37,0.93,6656900.0,212.87,221.08,-8.21,2889300.0,"34,924.81","34,987.02",-62.21,"320,450,000",39.95,40.09,-0.14,20250800.0,344262249.0,540535.0,17205.71,213060.0
214,0-549,2021-07-14,237.24,246.66,-9.42,9420400.0,170.0,170.42,-0.42,6162900.0,207.93,212.0,-4.07,1526000.0,"34,920.83","34,933.23",-12.4,"344,340,000",39.72,39.95,-0.23,15888600.0,343721714.0,530450.0,16523.71,200326.0
215,0-549,2021-07-13,239.14,235.15,3.99,4186400.0,168.97,169.27,-0.3,4691200.0,214.43,207.84,6.59,1794600.0,"34,959.96","34,888.79",71.17,"322,430,000",39.77,39.65,0.12,12222000.0,343191264.0,526400.0,15897.71,189203.0
216,0-549,2021-07-12,230.98,239.34,-8.36,6938200.0,169.73,169.48,0.25,7840500.0,217.37,215.69,1.68,1092000.0,"34,836.75","34,996.18",-159.43,"294,800,000",39.66,39.76,-0.1,24513000.0,342664864.0,519511.0,15320.29,183675.0
217,0-549,2021-07-11,,,,,,,,,,,,,,,,,,,,,,,,
218,0-549,2021-07-10,,,,,,,,,,,,,,,,,,,,,,,,
219,0-549,2021-07-09,231.96,232.81,-0.85,5305100.0,169.37,169.75,-0.38,6120900.0,216.24,217.4,-1.16,2065300.0,"34,457.51","34,870.16",-412.65,"301,750,000",39.53,39.61,-0.08,21578700.0,341527766.0,631953.0,13906.57,203345.0
220,0-549,2021-07-08,215.66,232.79,-17.13,8719400.0,168.7,169.08,-0.38,5755500.0,195.67,207.93,-12.26,2013200.0,"34,569.01","34,421.93",147.08,"335,690,000",39.0,39.25,-0.25,23021200.0,340895813.0,565596.0,13591.71,195658.0
221,0-549,2021-07-07,231.76,221.9,9.86,4889300.0,167.48,169.41,-1.93,6293500.0,211.5,205.93,5.57,1427300.0,"34,604.17","34,681.79",-77.62,"302,700,000",39.22,39.35,-0.13,17665200.0,340330217.0,570025.0,13278.86,192965.0
222,0-549,2021-07-06,229.62,233.34,-3.72,4956500.0,167.91,167.97,-0.06,6098500.0,213.43,213.5,-0.07,2051000.0,"34,790.16","34,577.37",212.79,"348,430,000",39.48,39.29,0.19,18931900.0,339760192.0,583617.0,13026.14,185900.0
223,0-549,2021-07-05,,,,,,,,,,,,,,,,,,,,,,,,
224,0-549,2021-07-04,,,,,,,,,,,,,,,,,,,,,,,,
225,0-549,2021-07-03,,,,,,,,,,,,,,,,,,,,,,,,
226,0-549,2021-11-27,,,,,,,,,,,,,,,,,,,,,,,,
227,0-549,2021-10-28,343.1,347.92,-4.82,4738900.0,163.77,162.85,0.92,6278800.0,282.5,283.98,-1.48,1468500.0,"35,545.41","35,730.48",-185.07,"337,400,000",42.95,43.18,-0.23,18023400.0,425964933.0,1590398.0,45090.14,190271.0
228,0-549,2021-09-27,430.6,408.84,21.76,13348200.0,164.0,163.17,0.83,5775500.0,335.36,307.09,28.27,4089300.0,"34,739.27","34,869.37",-130.1,"289,480,000",43.92,43.57,0.35,19955900.0,396750796.0,1020514.0,76328.57,189203.0
229,0-549,2021-08-28,,,,,,,,,,,,,,,,,,,,,,,,
230,0-549,2021-07-28,333.01,349.32,-16.31,13091600.0,172.73,172.18,0.55,5750700.0,289.0,313.45,-24.45,4880600.0,"35,109.95","34,930.93",179.02,"347,170,000",42.35,43.45,-1.1,53822400.0,351505814.0,719591.0,33630.71,205149.0
231,0-549,2021-06-27,,,,,,,,,,,,,,,,,,,,,,,,
232,0-549,2021-05-28,178.62,185.01,-6.39,8567200.0,169.52,169.25,0.27,6400800.0,199.11,204.0,-4.89,2283100.0,"34,558.50","34,529.45",29.05,"290,850,000",38.75,38.73,0.02,16154100.0,310555171.0,1324957.0,21465.86,189183.0
233,0-549,2021-04-27,178.36,183.41,-5.05,12925700.0,163.76,163.18,0.58,6217700.0,173.37,172.84,0.53,2061900.0,"33,932.13","33,984.93",-52.8,"289,030,000",38.51,38.45,0.06,19061500.0,252600911.0,2873439.0,37677.14,179068.0
234,0-549,2021-03-28,,,,,,,,,,,,,,,,,,,,,,,,
235,0-549,2021-02-25,150.78,148.38,2.4,15172100.0,163.13,162.76,0.37,9719700.0,114.87,112.33,2.54,1129800.0,"31,955.94","31,402.01",553.93,"454,110,000",33.82,33.82,0.0,37506100.0,81535436.0,2934075.0,51572.14,168661.0
236,0-549,2021-01-28,154.1,159.55,-5.45,16497400.0,168.2,169.16,-0.96,8944400.0,107.66,110.0,-2.34,2296600.0,"30,377.19","30,603.36",-226.17,"465,140,000",35.95,35.86,0.09,39466700.0,34283414.0,1958924.0,103841.43,139448.0
237,0-549,2020-12-28,120.04,111.4,8.64,31088200.0,153.32,153.19,0.13,3855500.0,95.0,88.11,6.89,4698900.0,"30,283.23","30,403.97",-120.74,"302,490,000",37.36,36.82,0.54,26993700.0,3656850.0,590281.0,115249.0,133896.0
238,0-549,2021-06-20,,,,,,,,,,,,,,,,,,,,,,,,
239,0-549,2021-06-19,,,,,,,,,,,,,,,,,,,,,,,,
240,0-549,2021-06-18,201.39,199.19,2.2,6663800.0,163.27,161.98,1.29,12993000.0,211.91,212.42,-0.51,2256100.0,"33,622.70","33,290.08",332.62,"563,920,000",39.3,38.81,0.49,37775900.0,330213779.0,918445.0,13328.57,205220.0
241,0-549,2021-06-17,200.0,202.47,-2.47,4955200.0,164.19,165.22,-1.03,5874700.0,209.9,214.2,-4.3,2107700.0,"34,014.38","33,823.45",190.93,"354,690,000",39.27,39.48,-0.21,19580100.0,329295334.0,891682.0,13545.71,212713.0
242,0-549,2021-06-16,200.0,197.84,2.16,7264700.0,164.8,164.43,0.37,6988500.0,211.5,203.85,7.65,3931600.0,"34,308.48","34,033.67",274.81,"347,150,000",39.62,39.3,0.32,19177500.0,328403652.0,941554.0,13788.29,212155.0
243,0-549,2021-06-15,203.49,201.59,1.9,6786300.0,165.23,164.49,0.74,5062900.0,224.14,218.17,5.97,2041100.0,"34,397.10","34,299.33",97.77,"272,430,000",39.71,39.59,0.12,20206900.0,327462098.0,975252.0,14036.29,196213.0
244,0-549,2021-06-14,213.27,207.41,5.86,11743700.0,164.5,165.37,-0.87,4931300.0,240.55,220.58,19.97,4425200.0,"34,472.52","34,393.75",78.77,"295,530,000",40.03,39.63,0.4,23408300.0,326486846.0,910303.0,14307.57,184338.0
245,0-549,2021-06-13,,,,,,,,,,,,,,,,,,,,,,,,
246,0-549,2021-06-12,,,,,,,,,,,,,,,,,,,,,,,,
247,0-549,2021-06-11,211.9,218.85,-6.95,5576000.0,167.07,164.96,2.11,7389900.0,238.97,238.55,0.42,1123100.0,"34,499.81","34,479.60",20.21,"260,840,000",40.66,40.15,0.51,21386900.0,324293717.0,1227119.0,15197.71,199281.0
248,0-549,2021-06-10,216.62,217.0,-0.38,11763100.0,166.0,167.08,-1.08,6463100.0,240.0,239.82,0.18,2853300.0,"34,502.51","34,466.24",36.27,"309,310,000",39.9,40.68,-0.78,42613700.0,323066598.0,1165975.0,15562.86,197849.0
249,0-549,2021-06-09,212.3,217.44,-5.14,8016500.0,163.99,165.59,-1.6,5552600.0,225.02,241.49,-16.47,3627300.0,"34,626.16","34,447.14",179.02,"245,100,000",39.0,39.81,-0.81,29824000.0,321900623.0,1161684.0,15958.29,191080.0
250,0-549,2021-06-08,220.1,213.0,7.1,11857600.0,165.28,163.39,1.89,7746800.0,238.79,220.45,18.34,4125100.0,"34,645.84","34,599.82",46.02,"289,440,000",39.07,38.85,0.22,18880300.0,320738939.0,1171033.0,16362.86,179493.0
251,0-549,2021-06-07,207.1,219.57,-12.47,19034400.0,166.0,164.84,1.16,5362800.0,238.56,238.15,0.41,4361700.0,"34,766.20","34,630.24",135.96,"259,120,000",39.08,38.99,0.09,24110700.0,319567906.0,1066961.0,16791.43,169791.0
252,0-549,2021-06-06,,,,,,,,,,,,,,,,,,,,,,,,
253,0-549,2021-06-05,,,,,,,,,,,,,,,,,,,,,,,,
254,0-549,2021-06-04,197.9,206.07,-8.17,11103300.0,167.01,165.97,1.04,6510300.0,218.62,233.29,-14.67,3226800.0,"34,618.69","34,756.39",-137.7,"270,050,000",39.05,39.15,-0.1,19375300.0,316918111.0,1398063.0,18072.43,189557.0
255,0-549,2021-06-03,188.89,195.22,-6.33,9270200.0,165.89,166.04,-0.15,5808800.0,218.3,215.31,2.99,1527700.0,"34,550.31","34,577.04",-26.73,"297,380,000",38.76,38.97,-0.21,17376300.0,315520048.0,1242660.0,18551.57,185129.0
256,0-549,2021-11-26,319.34,329.63,-10.29,35901200.0,160.6,159.2,1.4,8523100.0,337.43,348.0,-10.57,11029000.0,"35,366.69","34,899.34",467.35,"324,580,000",54.04,54.0,0.04,66561300.0,465369480.0,1190758.0,45772.43,157889.0
