,Multi_Class,Search Date,MRNA_Open,MRNA_Close,MRNA_Difference,MRNA_Volume,JNJ_Open,JNJ_Close,JNJ_Difference,JNJ_Volume,BTNX_Open,BTNX_Close,BTNX_Difference,BTNX_Volume,DJIA_Open,DJIA_Close,DJIA_Difference,DJIA_Volume,PFE_Open,PFE_Close,PFE_Difference,PFE_Volume,Total Doses Administered,Daily Increase,Current Hospitalized COVID-19 Patients,Number of Flights
10,550-1698,2022-02-03,165.07,163.95,1.12,4490400.0,172.26,172.76,-0.5,6240400.0,172.35,175.02,-2.67,1405300.0,"35,520.08","35,111.16",408.92,"381,020,000",53.33,53.38,-0.05,22635800.0,544616938.0,490815.0,119692.43,149649.0
11,550-1698,2022-11-22,,,,,,,,,,,,,,,,,,,,,,,,
12,1699-5000,2022-10-23,,,,,,,,,,,,,,,,,,,,,,,,
13,1699-5000,2022-09-22,,,,,,,,,,,,,,,,,,,,,,,,
14,1699-5000,2022-08-23,,,,,,,,,,,,,,,,,,,,,,,,
15,1699-5000,2022-07-23,,,,,,,,,,,,,,,,,,,,,,,,
16,1699-5000,2022-06-22,,,,,,,,,,,,,,,,,,,,,,,,
17,550-1698,2022-05-23,,,,,,,,,,,,,,,,,,,,,,,,
18,1699-5000,2022-04-22,,,,,,,,,,,,,,,,,,,,,,,,
19,1699-5000,2022-03-23,,,,,,,,,,,,,,,,,,,,,,,,
20,1699-5000,2022-02-20,,,,,,,,,,,,,,,,,,,,,,,,
21,1699-5000,2022-01-23,,,,,,,,,,,,,,,,,,,,,,,,
22,1699-5000,2021-12-23,250.41,249.99,0.42,9839200.0,167.88,168.25,-0.37,3501500.0,258.33,255.29,3.04,2604500.0,"35,782.42","35,950.56",-168.14,"247,420,000",59.82,58.71,1.11,39203200.0,507789360.0,1431827.0,62849.86,179535.0
23,1699-5000,2022-01-21,166.23,160.07,6.16,11801300.0,166.19,164.87,1.32,10550300.0,153.85,147.5,6.35,4395500.0,"34,701.69","34,265.37",436.32,"523,880,000",54.42,52.79,1.63,41059000.0,536844254.0,1033644.0,148047.29,178918.0
24,550-1698,2022-01-20,174.99,167.52,7.47,11489600.0,167.29,165.25,2.04,6011300.0,166.41,156.53,9.88,3282700.0,"35,102.66","34,715.39",387.27,"369,070,000",53.96,54.05,-0.09,35105300.0,535810610.0,896017.0,148315.57,169055.0
25,1699-5000,2022-01-19,188.84,174.07,14.77,10597600.0,167.2,166.58,0.62,5926500.0,171.64,161.66,9.98,3528300.0,"35,412.30","35,028.65",383.65,"393,080,000",53.65,53.54,0.11,27300400.0,534914593.0,941823.0,148081.43,169845.0
26,1699-5000,2022-01-18,196.91,186.61,10.3,11030800.0,167.1,167.1,0.0,7815600.0,183.27,169.23,14.04,4740300.0,"35,661.76","35,368.47",293.29,"427,260,000",54.5,54.11,0.39,35598000.0,533972770.0,963429.0,147406.29,166452.0
27,1699-5000,2022-01-17,,,,,,,,,,,,,,,,,,,,,,,,
28,1699-5000,2022-01-16,,,,,,,,,,,,,,,,,,,,,,,,
29,1699-5000,2022-01-15,,,,,,,,,,,,,,,,,,,,,,,,
