,Unnamed: 0,Date,Multi_Class,Search Date,alcoholism,anxiety,athleisure,cutting hair,depression,dry cough,eczema,fever,flu symptoms,lack of smell,lack of taste,long-term care,mask mandates,obamacare,opiods,peloton,quarantine,short-term disability,star trek,telehealth,teslas,unemployment insurance,vaping,xanax,zoom,covid symptoms,hospitals near me,baconator,helmet,aluminium,plane,age,hen,table,digital,mutation,oppose,city,athlete,prediction,tumble,stroke,diabetes,lungs,ivermectin,hydroxychloroquine,bleach,lake,toilet paper,stimulus,vaccines near me,vaccine side effects,how to get my taste back,anti-depressant,mental health,can dogs get covid,doritos locos tacos,best hikes near me,tiktok,jeff bezos net worth,what is ivermectin,what is mrna,bill gates population control,ubereats,instacart jobs,gig economy,stimmy,trump,biden,china,Current Hospitalized COVID-19 Patients,Total Doses Administered,Daily Increase,Number of Flights,MRNA_Open,MRNA_Close,MRNA_Difference,MRNA_Volume,JNJ_Open,JNJ_Close,JNJ_Difference,JNJ_Volume,BTNX_Open,BTNX_Close,BTNX_Difference,BTNX_Volume,DJIA_Open,DJIA_Close,DJIA_Difference,DJIA_Volume,PFE_Open,PFE_Close,PFE_Difference,PFE_Volume,AZN_Open,AZN_Close,AZN_Difference,AZN_Volume, NVAX_Open , NVAX_Close ,NVAX_Difference,NVAX_Volume
10,10,2022-02-13,550-1698,2022-02-03,42,83,28,30,75,15,59,26,9,10,4,56,16,9,46,15,3,31,30,18,35,4,27,68,13,15.0,44.0,18.0,59.0,22.0,25.0,46.0,16.0,63.0,64.0,21.0,29.0,46.0,55.0,14.0,67.0,56.0,65.0,47.0,13.0,1.0,22.0,44.0,1,1,5,5,30,0,67,17,1,28,13,10,10,30,0,58,21,9,0,2,2,25,119692.43,548792878.0,144101.0,162754.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11,2022-02-12,550-1698,2022-02-02,37,87,31,27,68,14,63,28,9,5,9,30,14,8,49,17,4,44,27,16,45,3,29,68,13,16.0,56.0,22.0,66.0,27.0,25.0,45.0,16.0,61.0,66.0,18.0,33.0,45.0,57.0,16.0,52.0,61.0,74.0,47.0,14.0,1.0,22.0,41.0,1,2,11,5,26,0,69,19,3,15,12,6,17,36,0,55,14,6,0,2,2,24,123137.57,548648777.0,327557.0,182400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12,2022-02-11,1699-5000,2022-02-01,43,88,17,23,70,14,80,32,8,0,9,43,18,8,44,20,4,32,28,17,40,4,31,72,12,19.0,50.0,19.0,70.0,32.0,24.0,47.0,17.0,66.0,67.0,23.0,28.0,46.0,43.0,21.0,48.0,64.0,73.0,49.0,16.0,1.0,22.0,40.0,1,2,12,7,16,22,68,17,1,15,12,7,17,29,0,48,17,1,0,2,2,25,126537.14,548321220.0,582026.0,199407.0,161.25,161.32,-0.07,5245700.0,169.12,167.71,1.41,13124800.0,167.93,170.95,-3.02,1439200.0,"35,267.89","34,738.06",529.83,"398,860,000",50.33,50.78,-0.45,34970000.0,58.08,58.04,0.04,9038200.0,90.16,90.44,-0.28,4131200.0
13,13,2022-02-10,1699-5000,2022-01-31,42,90,45,25,72,14,71,38,9,10,9,56,15,8,42,19,4,19,26,16,48,3,29,73,11,24.0,53.0,11.0,59.0,27.0,25.0,50.0,16.0,63.0,70.0,21.0,30.0,45.0,39.0,17.0,43.0,55.0,78.0,49.0,20.0,1.0,22.0,41.0,1,2,11,4,36,0,69,20,1,10,12,7,12,29,0,50,14,2,0,2,2,24,129780.71,547739194.0,473174.0,197247.0,158.0,160.42,-2.42,5965400.0,171.21,169.42,1.79,10355300.0,165.04,167.54,-2.5,1205500.0,"35,630.81","35,241.59",389.22,"411,620,000",51.04,50.6,0.44,34200600.0,58.16,58.6,-0.44,14540200.0,87.18,88.0,-0.82,4925700.0
14,14,2022-02-09,1699-5000,2022-01-30,39,75,100,35,52,14,81,38,9,6,10,37,10,7,49,21,4,0,33,7,61,2,25,71,7,22.0,71.0,20.0,79.0,28.0,24.0,55.0,15.0,62.0,60.0,18.0,26.0,48.0,44.0,13.0,74.0,50.0,71.0,48.0,16.0,1.0,22.0,41.0,2,1,5,5,6,24,42,21,4,16,16,7,14,5,0,59,15,3,0,3,2,25,132730.71,547266020.0,478132.0,194573.0,154.37,164.03,-9.66,5621600.0,172.07,171.49,0.58,5387500.0,162.9,173.33,-10.43,1874500.0,"35,614.90","35,768.06",-153.16,"333,610,000",51.64,51.47,0.17,38522200.0,56.99,57.2,-0.21,5571100.0,84.08,91.79,-7.71,5341100.0
15,15,2022-02-08,1699-5000,2022-01-29,30,73,46,27,46,12,76,29,9,6,0,19,13,8,47,29,4,21,32,13,48,2,24,73,7,22.0,55.0,21.0,79.0,18.0,25.0,65.0,22.0,65.0,56.0,11.0,10.0,60.0,40.0,20.0,71.0,53.0,57.0,40.0,12.0,1.0,26.0,42.0,1,1,11,7,11,0,34,21,5,32,15,6,11,11,0,56,19,1,0,2,2,25,135440.71,546787888.0,471048.0,182198.0,155.2,153.31,1.89,7616400.0,171.02,171.51,-0.49,6296100.0,162.35,159.6,2.75,3091900.0,"35,160.68","35,462.78",-302.1,"319,190,000",50.64,51.7,-1.06,67922000.0,56.55,56.65,-0.1,7632300.0,85.02,83.45,1.57,9114900.0
16,16,2022-02-07,1699-5000,2022-01-28,43,76,40,26,59,18,63,31,8,10,14,38,11,8,69,19,4,46,30,17,57,4,25,74,11,23.0,60.0,18.0,67.0,25.0,23.0,61.0,18.0,62.0,58.0,11.0,12.0,46.0,34.0,19.0,99.0,49.0,61.0,46.0,12.0,1.0,24.0,44.0,1,1,6,8,21,0,62,23,4,15,13,7,15,33,0,59,19,1,1,2,3,24,138055.14,546316840.0,456914.0,170108.0,162.2,160.27,1.93,4429300.0,171.41,171.06,0.35,6065700.0,175.59,172.81,2.78,1494100.0,"35,108.38","35,091.13",17.25,"328,910,000",53.3,53.21,0.09,32358500.0,56.19,56.68,-0.49,7816900.0,90.36,94.8,-4.44,6481200.0
17,17,2022-02-06,550-1698,2022-01-27,44,88,32,22,68,15,73,35,10,5,9,48,10,10,53,21,5,32,31,18,50,4,28,75,13,24.0,56.0,27.0,61.0,22.0,24.0,49.0,19.0,64.0,62.0,19.0,32.0,47.0,39.0,18.0,57.0,50.0,68.0,53.0,14.0,1.0,23.0,41.0,1,2,12,8,10,22,74,35,1,15,13,7,29,41,5,52,21,8,1,2,3,24,140453.43,545859926.0,204240.0,160883.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,18,2022-02-05,1699-5000,2022-01-26,31,87,57,31,67,20,72,36,11,10,4,71,15,7,56,22,5,67,28,20,62,5,28,81,13,27.0,54.0,12.0,59.0,28.0,25.0,50.0,16.0,63.0,67.0,22.0,33.0,45.0,41.0,15.0,58.0,53.0,75.0,55.0,17.0,1.0,23.0,43.0,1,2,11,9,20,21,70,34,3,19,13,8,21,44,10,48,16,5,1,2,3,24,142616.43,545655686.0,417641.0,159841.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,19,2022-02-04,1699-5000,2022-01-25,41,90,35,22,73,16,74,37,13,5,4,58,30,9,71,28,6,23,30,17,54,4,31,69,12,29.0,64.0,27.0,59.0,30.0,25.0,52.0,17.0,66.0,71.0,23.0,24.0,45.0,41.0,17.0,62.0,57.0,80.0,55.0,15.0,1.0,23.0,43.0,1,2,15,8,47,20,75,26,4,4,12,6,25,34,10,44,27,3,1,2,6,24,144428.43,545238045.0,621107.0,155219.0,165.64,163.01,2.63,4369900.0,171.0,171.63,-0.63,6391900.0,175.77,176.57,-0.8,880300.0,"35,095.74","35,089.74",6,"349,880,000",53.02,53.0,0.02,24925900.0,56.3,55.72,0.58,10600200.0,88.31,89.33,-1.02,3310600.0
