,Unnamed: 0,Date,alcoholism,anxiety,athleisure,cutting hair,depression,dry cough,eczema,fever,flu symptoms,lack of smell,lack of taste,long-term care,mask mandates,obamacare,opiods,peloton,quarantine,short-term disability,star trek,telehealth,teslas,unemployment insurance,vaping,xanax,zoom,covid symptoms,hospitals near me,baconator,helmet,aluminium,plane,age,hen,table,digital,mutation,oppose,city,athlete,prediction,tumble,stroke,diabetes,lungs,ivermectin,hydroxychloroquine,bleach,lake,toilet paper,stimulus,vaccines near me,vaccine side effects,how to get my taste back,anti-depressant,mental health,can dogs get covid,doritos locos tacos,best hikes near me,tiktok,jeff bezos net worth,what is ivermectin,what is mrna,bill gates population control,ubereats,instacart jobs,gig economy,stimmy,trump,biden,china,Total Doses Administered,Daily Increase,Current Hospitalized COVID-19 Patients,Number of Flights
13,13,2019-12-14,27,68,53,30,60,15,53,33,23,0,4,13,0,28,45,33,0,13,31,2,54,1,35,90,3,0.0,50.0,12.0,81.0,25.0,25.0,46.0,22.0,66.0,63.0,10.0,19.0,46.0,35.0,7.0,63.0,46.0,52.0,34.0,1.0,0.0,17.0,36.0,1,0,5,1,0,0,31,0,2,0,4,8,0,6,0,58,7,4,0,10,1,23,,,,
14,14,2019-12-15,39,67,40,25,64,14,52,34,24,5,4,14,0,30,48,37,0,6,34,2,37,3,28,83,3,0.0,54.0,15.0,72.0,26.0,26.0,41.0,16.0,71.0,65.0,18.0,29.0,47.0,40.0,7.0,80.0,53.0,67.0,42.0,1.0,0.0,15.0,36.0,1,0,4,1,0,22,28,0,1,20,4,9,0,9,0,56,11,6,0,8,1,23,,,,
15,15,2019-12-16,48,77,30,17,82,17,56,37,29,4,4,46,0,30,49,24,0,5,31,3,34,4,49,82,3,0.0,55.0,19.0,66.0,31.0,27.0,42.0,18.0,70.0,67.0,21.0,36.0,47.0,36.0,8.0,69.0,53.0,67.0,42.0,1.0,0.0,15.0,37.0,1,0,3,1,4,19,53,0,1,0,3,13,1,20,0,46,14,7,0,8,0,23,,,,
16,16,2019-12-17,37,77,22,20,83,16,62,36,29,4,0,26,0,22,78,24,0,22,29,4,38,5,55,86,4,0.0,47.0,9.0,66.0,22.0,26.0,42.0,16.0,67.0,64.0,20.0,39.0,45.0,37.0,7.0,63.0,47.0,67.0,41.0,1.0,0.0,15.0,35.0,1,0,1,1,0,58,53,0,1,4,3,12,2,21,0,44,6,24,0,9,0,22,,,,
17,17,2019-12-18,42,73,59,27,72,15,59,34,30,9,8,21,0,26,60,21,0,0,34,3,44,4,45,82,3,0.0,63.0,17.0,59.0,24.0,26.0,40.0,15.0,61.0,61.0,17.0,26.0,44.0,34.0,8.0,80.0,49.0,57.0,39.0,1.0,0.0,14.0,34.0,1,0,2,2,0,19,53,0,0,4,3,9,0,22,0,51,9,24,0,29,1,23,,,,
18,18,2019-12-19,33,65,28,21,66,13,61,34,28,0,0,30,0,41,36,18,0,0,35,3,31,3,45,83,3,0.0,59.0,5.0,69.0,26.0,24.0,43.0,16.0,57.0,66.0,12.0,15.0,47.0,33.0,9.0,65.0,49.0,59.0,32.0,1.0,0.0,15.0,37.0,1,0,4,2,4,0,41,0,1,5,3,13,1,16,0,55,5,13,0,100,1,22,,,,
19,19,2019-12-20,32,64,30,18,56,14,65,35,29,0,0,37,0,19,60,18,0,12,49,3,41,2,38,83,3,0.0,55.0,11.0,66.0,17.0,26.0,46.0,20.0,56.0,60.0,5.0,12.0,45.0,33.0,9.0,69.0,46.0,51.0,35.0,0.0,0.0,18.0,39.0,1,0,1,2,0,20,42,0,3,0,3,15,0,9,0,66,11,8,0,23,2,22,,,,
20,20,2019-12-21,25,59,7,24,48,19,63,37,32,0,0,14,0,13,21,21,0,6,41,3,41,1,38,94,2,0.0,58.0,19.0,81.0,25.0,26.0,48.0,25.0,58.0,61.0,5.0,6.0,42.0,29.0,8.0,65.0,47.0,49.0,32.0,1.0,0.0,18.0,38.0,1,0,3,2,0,0,27,0,5,5,4,12,1,1,0,61,5,16,0,15,1,22,,,,
21,21,2019-12-22,39,62,34,28,52,16,68,40,35,0,0,14,0,10,54,28,0,0,37,1,62,3,35,86,2,0.0,58.0,10.0,72.0,22.0,25.0,42.0,21.0,55.0,62.0,7.0,9.0,49.0,28.0,7.0,51.0,47.0,58.0,33.0,1.0,0.0,16.0,41.0,1,0,3,1,5,0,22,0,1,0,5,11,1,0,0,50,10,6,0,11,1,23,,,,
22,22,2019-12-23,27,65,31,22,51,23,57,41,38,0,0,13,0,9,52,20,0,0,34,2,45,5,31,83,2,0.0,55.0,11.0,69.0,21.0,24.0,45.0,27.0,52.0,58.0,7.0,7.0,44.0,27.0,7.0,52.0,46.0,53.0,36.0,1.0,0.0,17.0,38.0,1,0,3,1,0,0,36,0,0,0,4,9,3,3,0,50,7,6,0,9,0,22,,,,
