,Date,MRNA_Open,MRNA_Close,MRNA_Difference,MRNA_Volume,JNJ_Open,JNJ_Close,JNJ_Difference,JNJ_Volume,BTNX_Open,BTNX_Close,BTNX_Difference,BTNX_Volume,DJIA_Open,DJIA_Close,DJIA_Difference,DJIA_Volume,PFE_Open,PFE_Close,PFE_Difference,PFE_Volume,AZN_Open,AZN_Close,AZN_Difference,AZN_Volume, NVAX_Open , NVAX_Close ,NVAX_Difference,NVAX_Volume,Total Doses Administered,Daily Increase,Number of Flights,Current Hospitalized COVID-19 Patients,Unnamed: 0,alcoholism,anxiety,athleisure,cutting hair,depression,dry cough,eczema,fever,flu symptoms,lack of smell,lack of taste,long-term care,mask mandates,obamacare,opiods,peloton,quarantine,short-term disability,star trek,telehealth,teslas,unemployment insurance,vaping,xanax,zoom,covid symptoms,hospitals near me,baconator,helmet,aluminium,plane,age,hen,table,digital,mutation,oppose,city,athlete,prediction,tumble,stroke,diabetes,lungs,ivermectin,hydroxychloroquine,bleach,lake,toilet paper,stimulus,vaccines near me,vaccine side effects,how to get my taste back,anti-depressant,mental health,can dogs get covid,doritos locos tacos,best hikes near me,tiktok,jeff bezos net worth,what is ivermectin,what is mrna,bill gates population control,ubereats,instacart jobs,gig economy,stimmy,trump,biden,china
0,2019-12-02,20.3,19.76,0.54,1184000,137.72,137.36,0.36,4717100,22.66,21.87,0.79,106500,"28,109.74","27,783.04",326.7,"236,610,000",36.8,36.33,0.47,15645998,48.67,48.38,0.29,8550200,5.14,5.22,-0.08,4553500,,,,,1,46,77,32,20,79,14,55,30,21,0,11,21,0,17,61,33,0,10,26,4,45,5,49,75,4,0.0,48.0,7.0,69.0,26.0,28.0,39.0,14.0,75.0,71.0,21.0,34.0,47.0,41.0,7.0,81.0,57.0,72.0,44.0,1.0,0.0,15.0,34.0,1,0,3,1,4,0,56,0,0,4,3,10,1,21,0,43,9,9,0,6,1,22
1,2019-12-03,19.48,21.28,-1.8,1795200,136.91,137.16,-0.25,5741400,22.05,20.77,1.28,88400,"27,501.98","27,502.81",-0.83,"275,350,000",36.02,36.1,-0.09,20869832,47.54,47.89,-0.35,3058500,5.12,4.77,0.35,2263500,,,,,2,36,80,41,16,83,16,61,30,22,4,0,39,0,24,75,52,0,5,28,5,34,5,49,85,4,0.0,54.0,15.0,62.0,28.0,25.0,40.0,15.0,74.0,69.0,23.0,38.0,46.0,40.0,8.0,72.0,53.0,77.0,48.0,1.0,0.0,16.0,35.0,1,0,1,1,0,37,64,0,0,0,3,11,0,30,0,51,11,10,0,7,1,23
2,2019-12-04,21.0,21.27,-0.27,1980100,138.5,139.38,-0.88,7257300,21.49,21.37,0.12,146500,"27,634.63","27,649.78",-15.15,"218,200,000",36.27,36.19,0.09,14501248,47.71,48.2,-0.49,4901000,4.81,4.88,-0.07,1113400,,,,,3,44,87,72,16,89,15,66,32,21,8,7,34,0,24,82,75,0,5,31,6,37,3,52,85,4,0.0,46.0,8.0,62.0,30.0,26.0,41.0,16.0,75.0,66.0,27.0,41.0,45.0,42.0,9.0,69.0,61.0,77.0,49.0,1.0,0.0,15.0,35.0,1,0,2,2,4,37,66,0,2,4,3,9,1,23,0,53,11,10,0,10,1,24
3,2019-12-05,21.49,20.64,0.85,1478100,139.35,139.56,-0.21,5472900,21.75,22.49,-0.74,129900,"27,736.05","27,677.79",58.26,"208,600,000",36.4,36.08,0.32,13098058,48.07,47.62,0.45,2302400,4.92,4.55,0.37,1288000,,,,,4,54,80,49,22,92,14,68,29,23,0,4,23,0,25,85,79,0,16,28,4,47,5,55,87,4,0.0,46.0,27.0,69.0,28.0,25.0,40.0,15.0,70.0,67.0,26.0,29.0,46.0,42.0,8.0,70.0,56.0,71.0,45.0,1.0,0.0,15.0,36.0,1,0,3,2,4,38,63,0,3,12,3,10,0,43,5,46,10,7,0,11,2,23
4,2019-12-06,20.78,18.94,1.84,3537200,139.46,140.38,-0.92,6640400,22.85,24.37,-1.52,251500,"27,839.68","28,015.06",-175.38,"223,310,000",36.32,36.33,-0.01,12868708,47.73,47.68,0.05,2477400,4.62,4.35,0.27,1326700,,,,,5,46,76,25,19,82,12,60,29,19,0,0,37,0,20,46,68,0,16,31,4,25,4,49,83,3,0.0,44.0,29.0,75.0,27.0,22.0,41.0,17.0,63.0,63.0,10.0,14.0,46.0,31.0,9.0,74.0,47.0,61.0,34.0,1.0,0.0,18.0,37.0,1,0,5,2,0,0,53,0,3,4,3,10,1,22,0,43,10,13,0,9,2,25
5,2019-12-09,19.07,18.78,0.29,2814000,140.39,140.5,-0.11,4241000,25.0,29.0,-4.0,393900,"27,987.05","27,909.60",77.45,"217,000,000",36.15,36.36,-0.21,15641571,47.62,47.77,-0.15,4628100,4.35,4.16,0.19,1077400,,,,,8,55,83,33,19,85,15,55,31,23,8,0,40,0,21,100,63,0,0,48,4,28,5,49,87,4,0.0,47.0,17.0,66.0,27.0,29.0,42.0,16.0,71.0,64.0,24.0,38.0,56.0,40.0,7.0,63.0,56.0,68.0,44.0,1.0,0.0,15.0,34.0,1,0,2,2,0,0,57,0,0,4,3,7,0,23,0,49,10,9,0,8,1,23
6,2019-12-10,18.78,18.87,-0.09,1619800,140.8,139.99,0.81,5310300,29.0,28.0,1.0,180200,"27,900.65","27,881.72",18.93,"213,250,000",36.31,36.51,-0.2,19171311,47.47,47.98,-0.51,3441400,4.17,4.17,0.0,1294300,,,,,9,38,79,47,19,86,16,60,33,24,4,4,26,0,22,67,49,0,11,35,3,38,5,52,86,4,0.0,39.0,15.0,66.0,26.0,29.0,41.0,16.0,72.0,69.0,23.0,41.0,55.0,53.0,7.0,79.0,53.0,77.0,46.0,0.0,0.0,15.0,33.0,1,0,2,2,0,0,57,0,3,5,3,8,1,29,5,40,16,14,0,10,1,23
7,2019-12-11,19.03,18.65,0.38,1233100,140.93,140.98,-0.05,6631500,28.7,31.3,-2.6,205200,"27,867.31","27,911.30",-43.99,"213,510,000",36.4,36.26,0.14,15569372,48.08,48.19,-0.11,3233500,4.14,4.09,0.05,838100,,,,,10,42,77,36,21,84,14,53,32,24,0,4,31,0,26,57,37,0,11,30,4,35,3,55,85,4,0.0,56.0,19.0,62.0,26.0,26.0,41.0,16.0,71.0,64.0,24.0,40.0,47.0,44.0,8.0,69.0,57.0,68.0,41.0,1.0,0.0,15.0,35.0,1,0,4,2,0,18,62,0,2,0,3,8,2,25,0,43,11,13,0,10,1,23
8,2019-12-12,18.56,18.45,0.11,1313400,141.32,141.34,-0.02,5012400,32.7,29.84,2.86,380900,"27,898.34","28,132.05",-233.71,"277,740,000",36.21,36.57,-0.35,13414469,48.05,47.92,0.13,1930000,4.13,3.99,0.14,1096300,,,,,11,48,78,27,22,82,15,59,33,23,9,0,26,0,26,52,38,0,5,31,5,45,4,55,100,4,0.0,41.0,17.0,66.0,24.0,26.0,40.0,14.0,65.0,64.0,22.0,31.0,46.0,38.0,6.0,78.0,52.0,65.0,42.0,1.0,0.0,16.0,36.0,1,0,3,2,4,19,57,0,2,4,3,7,1,24,0,59,13,9,0,11,1,26
9,2019-12-13,18.47,18.62,-0.15,1302400,141.1,141.38,-0.28,4257200,32.15,32.45,-0.3,232700,"28,123.64","28,135.38",-11.74,"250,660,000",36.55,36.37,0.18,16678496,48.38,48.36,0.02,1825400,4.05,4.03,0.02,1365700,,,,,12,50,76,30,16,78,12,57,31,24,9,8,18,0,24,78,37,0,11,25,2,31,3,45,79,4,0.0,54.0,21.0,78.0,17.0,24.0,42.0,17.0,60.0,64.0,9.0,15.0,44.0,37.0,9.0,73.0,45.0,53.0,33.0,1.0,0.0,16.0,38.0,1,0,2,1,4,19,49,0,3,9,3,9,0,20,0,44,12,11,0,13,1,28
