Date,MRNA_Open,MRNA_Close,MRNA_Difference,MRNA_Volume,JNJ_Open,JNJ_Close,JNJ_Difference,JNJ_Volume,BTNX_Open,BTNX_Close,BTNX_Difference,BTNX_Volume,DJIA_Open,DJIA_Close,DJIA_Difference,DJIA_Volume,PFE_Open,PFE_Close,PFE_Difference,PFE_Volume,AZN_Open,AZN_Close,AZN_Difference,AZN_Volume, NVAX_Open , NVAX_Close ,NVAX_Difference,NVAX_Volume
12/19/2019,18.58,19.41,-0.83,2101700,143.89,145.35,-1.46,9414700,33.87,29.34,4.53,250500,"28,278.31","28,376.96",-98.65,"262,570,000",37,36.97,0.03,22022276,49.3,49.97,-0.67,4377300,3.98,4.01,-0.03,950400
12/20/2019,19.4,19.83,-0.43,10931400,146.88,146.06,0.82,14532800,31.81,34.97,-3.16,447900,"28,608.64","28,455.09",153.55,"603,780,000",37.33,37.22,0.11,58199772,50.54,50.46,0.08,4715100,4.08,4.01,0.07,1390600
12/23/2019,19.79,19.7,0.09,1789700,145.74,146.44,-0.7,6558700,34.91,34.73,0.18,103500,"28,491.78","28,551.53",-59.75,"223,530,000",37.4,37.31,0.09,17454345,50.4,49.89,0.51,3189900,4.04,4,0.04,1070000
12/24/2019,19.69,19.75,-0.06,488900,146,145.93,0.07,4238900,34.61,33.47,1.14,23900,"28,572.57","28,515.45",57.12,"86,150,000",37.31,37.28,0.04,5187683,49.79,49.87,-0.08,755800,4,4,0,603100
12/26/2019,19.82,19.86,-0.04,750300,145.97,145.83,0.14,3019300,33.29,33.2,0.09,53900,"28,539.46","28,621.39",-81.93,"155,970,000",37.29,37.36,-0.08,9384078,49.85,49.85,0,1013100,3.99,4,-0.01,1202100
12/27/2019,19.99,19.52,0.47,1046900,146.2,145.75,0.45,3432700,32.61,32.58,0.03,38100,"28,675.34","28,645.26",30.08,"182,280,000",37.41,37.31,0.1,10117662,50.57,50.44,0.13,1636200,4,3.99,0.01,774900
12/30/2019,19.54,19.05,0.49,1183300,145.78,145.3,0.48,2923300,33,34.91,-1.91,33500,"28,654.76","28,462.14",192.62,"181,600,000",37.29,36.92,0.37,11554264,50.83,50.01,0.82,1960300,3.98,4,-0.02,734600
12/31/2019,18.96,19.56,-0.6,1112400,145.1,145.87,-0.77,4435000,34.71,33.88,0.83,40000,"28,414.64","28,538.44",-123.8,"193,340,000",36.8,37.17,-0.37,15175703,49.77,49.86,-0.09,1750000,3.98,3.98,0,1324900
1/2/2020,19.57,19.23,0.34,1233600,145.87,145.97,-0.1,5777000,35.75,38.5,-2.75,139500,"28,638.97","28,868.80",-229.83,"251,820,000",37.29,37.13,0.15,16514072,50.3,50.39,-0.09,3587300,3.99,4.49,-0.5,6124200
1/3/2020,19.02,18.89,0.13,1751000,143.5,144.28,-0.78,5752400,38,40.05,-2.05,176000,"28,553.33","28,634.88",-81.55,"239,590,000",36.74,36.94,-0.2,14922848,49.88,50.09,-0.21,1208700,4.47,4.44,0.03,1709000
1/6/2020,18.7,18.13,0.57,1606500,144,144.1,-0.1,7731300,40.11,44.58,-4.47,333300,"28,465.50","28,703.38",-237.88,"252,760,000",36.83,36.89,-0.06,15771951,50.04,49.88,0.16,1992300,4.41,4.58,-0.17,2111700
