Date,Number of Flights
2021-03-31,177350
2021-03-30,178798
2021-03-29,166983
2021-03-28,146815
2021-03-27,160125
2021-03-26,175694
2021-03-25,165585
2021-03-24,166628
2021-03-23,162645
2021-03-22,159927
2021-03-21,154106
2021-03-20,167770
2021-03-19,173031
2021-03-18,153282
2021-03-17,155710
2021-03-16,152777
2021-03-15,144134
2021-03-14,135481
2021-03-13,149074
2021-03-12,169345
2021-03-11,157977
2021-03-10,158729
2021-03-09,161680
2021-03-08,161072
2021-03-07,154561
2021-03-06,157575
2021-03-05,173512
2021-03-04,169762
2021-03-03,170167
2021-03-02,157518
2021-03-01,144526
2021-02-28,131584
2021-02-27,135380
2021-02-26,165237
2021-02-25,168661
2021-02-24,166192
2021-02-23,157214
2021-02-22,141073
2021-02-21,143098
2021-02-20,144724
2021-02-19,139089
2021-02-18,131775
2021-02-17,141512
2021-02-16,117876
2021-02-15,108146
2021-02-14,102833
2021-02-13,107369
2021-02-12,129580
2021-02-11,131937
2021-02-10,138101
2021-02-09,129433
2021-02-08,132614
2021-02-07,110960
2021-02-06,123893
2021-02-05,146221
2021-02-04,151090
2021-02-03,145808
2021-02-02,127998
2021-02-01,121137
2021-01-31,118899
2021-01-30,129361
2021-01-29,146372
2021-01-28,139448
2021-01-27,134364
2021-01-26,128840
2021-01-25,121921
2021-01-24,114449
2021-01-23,125375
2021-01-22,148183
2021-01-21,147337
2021-01-20,142017
2021-01-19,138651
2021-01-18,137202
2021-01-17,124504
2021-01-16,126077
2021-01-15,143574
2021-01-14,152648
2021-01-13,151105
2021-01-12,139964
2021-01-11,135168
2021-01-10,132867
2021-01-09,133933
2021-01-08,139866
2021-01-07,141572
2021-01-06,138576
2021-01-05,138303
2021-01-04,137935
2021-01-03,130037
2021-01-02,120291
2021-01-01,93897
2020-12-31,116553
2020-12-30,142838
2020-12-29,143506
2020-12-28,133896
2020-12-27,137385
2020-12-26,126552
2020-12-25,86450
2020-12-24,113112
2020-12-23,153218
2020-12-22,156499
2020-12-21,140175
2020-12-20,134888
2020-12-19,151293
2020-12-18,167781
2020-12-17,154311
2020-12-16,141021
2020-12-15,150370
2020-12-14,137180
2020-12-13,122790
2020-12-12,122437
2020-12-11,157400
2020-12-10,167196
2020-12-09,163047
2020-12-08,152078
2020-12-07,138117
2020-12-06,131888
2020-12-05,139015
2020-12-04,159359
2020-12-03,161041
2020-12-02,157000
2020-12-01,149432
2020-11-30,130912
2020-11-29,135971
2020-11-28,131483
2020-11-27,130016
2020-11-26,109293
2020-11-25,147614
2020-11-24,150370
2020-11-23,140867
2020-11-22,129459
2020-11-21,150169
2020-11-20,168452
2020-11-19,153455
2020-11-18,154212
2020-11-17,148984
2020-11-16,145682
2020-11-15,123670
2020-11-14,140152
2020-11-13,156985
2020-11-12,152913
2020-11-11,135773
2020-11-10,136552
2020-11-09,137983
2020-11-08,131575
2020-11-07,144085
2020-11-06,169742
2020-11-05,166889
2020-11-04,167179
2020-11-03,154779
2020-11-02,141570
2020-11-01,122920
2020-10-31,150905
2020-10-30,161577
2020-10-29,143870
2020-10-28,142076
2020-10-27,136318
2020-10-26,124271
2020-10-25,123675
2020-10-24,128438
2020-10-23,141878
2020-10-22,151846
2020-10-21,139069
2020-10-20,138166
2020-10-19,138651
2020-10-18,139373
2020-10-17,144068
2020-10-16,157148
2020-10-15,156068
2020-10-14,157357
2020-10-13,146771
2020-10-12,132649
2020-10-11,132441
2020-10-10,135202
2020-10-09,163785
2020-10-08,161245
2020-10-07,152426
2020-10-06,150356
2020-10-05,142464
2020-10-04,135064
2020-10-03,140138
2020-10-02,159331
2020-10-01,163100
2020-09-30,155109
2020-09-29,130882
2020-09-28,130931
2020-09-27,130980
2020-09-26,132201
2020-09-25,153321
2020-09-24,156616
2020-09-23,157382
2020-09-22,154255
2020-09-21,148551
2020-09-20,150231
2020-09-19,155400
2020-09-18,164247
2020-09-17,155895
2020-09-16,156758
2020-09-15,157722
2020-09-14,148274
2020-09-13,145029
2020-09-12,149109
2020-09-11,162215
2020-09-10,153377
2020-09-09,146196
2020-09-08,143196
2020-09-07,145320
2020-09-06,141825
2020-09-05,159021
2020-09-04,173559
2020-09-03,162095
2020-09-02,152636
2020-09-01,146148
2020-08-31,145561
2020-08-30,136981
2020-08-29,133324
2020-08-28,155275
2020-08-27,159110
2020-08-26,152846
2020-08-25,148116
2020-08-24,144217
2020-08-23,142071
2020-08-22,142494
2020-08-21,159724
2020-08-20,167110
2020-08-19,160289
2020-08-18,154941
2020-08-17,147485
2020-08-16,141931
2020-08-15,145720
2020-08-14,159621
2020-08-13,158569
2020-08-12,158289
2020-08-11,153882
2020-08-10,148852
2020-08-09,145270
2020-08-08,152224
2020-08-07,163664
2020-08-06,163789
2020-08-05,159116
2020-08-04,142681
2020-08-03,136365
2020-08-02,129153
2020-08-01,145736
2020-07-31,160034
2020-07-30,152409
2020-07-29,135541
2020-07-28,140805
2020-07-27,137884
2020-07-26,129750
2020-07-25,142760
2020-07-24,151744
2020-07-23,149118
2020-07-22,146449
2020-07-21,146312
2020-07-20,145643
2020-07-19,139824
2020-07-18,148535
2020-07-17,155093
2020-07-16,148395
2020-07-15,149426
2020-07-14,147427
2020-07-13,147301
2020-07-12,143199
2020-07-11,141124
2020-07-10,146182
2020-07-09,147323
2020-07-08,139012
2020-07-07,136786
2020-07-06,127813
2020-07-05,118048
2020-07-04,116896
2020-07-03,141940
2020-07-02,142950
2020-07-01,133384
2020-06-30,125957
2020-06-29,116337
2020-06-28,105289
2020-06-27,113899
2020-06-26,135951
2020-06-25,139183
2020-06-24,138845
2020-06-23,128606
2020-06-22,121175
2020-06-21,112276
2020-06-20,118555
2020-06-19,128228
2020-06-18,128959
2020-06-17,128775
2020-06-16,122942
2020-06-15,118914
2020-06-14,103124
2020-06-13,114310
2020-06-12,135545
2020-06-11,123965
2020-06-10,115051
2020-06-09,109757
2020-06-08,106809
2020-06-07,90962
2020-06-06,93355
2020-06-05,111025
