date,alcoholism,anxiety,athleisure,cutting hair,depression,dry cough,eczema,fever,flu symptoms,lack of smell,lack of taste,long-term care,mask mandates,obamacare,opiods,peloton,quarantine,short-term disability,star trek,telehealth,teslas,unemployment insurance,vaping,xanax,zoom
2019-12-29,36.0,64.0,35.0,29.0,51.0,22.0,56.0,45.0,42.0,0.0,0.0,13.0,0.0,9.0,76.0,28.0,0.0,6.0,55.0,2.0,51.0,3.0,31.0,89.0,2.0
2019-12-30,51.0,75.0,30.0,22.0,57.0,23.0,60.0,43.0,40.0,0.0,4.0,12.0,0.0,11.0,45.0,28.0,0.0,17.0,35.0,3.0,44.0,5.0,38.0,89.0,3.0
2019-12-31,36.0,68.0,20.0,22.0,53.0,21.0,58.0,40.0,39.0,5.0,4.0,19.0,0.0,10.0,55.0,27.0,0.0,6.0,36.0,3.0,37.0,3.0,35.0,82.0,3.0
2020-01-01,36.0,64.0,22.0,23.0,53.0,20.0,55.0,37.0,32.0,0.0,0.0,7.0,0.0,8.0,37.0,36.0,0.0,0.0,40.0,2.0,33.0,1.0,35.0,86.0,2.0
2020-01-02,44.0,81.0,22.0,20.0,65.0,20.0,67.0,38.0,36.0,0.0,4.0,33.0,0.0,9.0,42.0,30.0,0.0,6.0,35.0,4.0,36.0,6.0,52.0,86.0,3.0
2020-01-03,35.0,74.0,59.0,22.0,58.0,19.0,67.0,38.0,38.0,0.0,0.0,24.0,0.0,10.0,51.0,25.0,0.0,5.0,42.0,4.0,40.0,3.0,48.0,88.0,3.0
2020-01-04,41.0,68.0,47.0,26.0,55.0,21.0,66.0,42.0,38.0,0.0,4.0,10.0,0.0,9.0,79.0,31.0,0.0,12.0,36.0,2.0,55.0,2.0,42.0,92.0,2.0
2020-01-05,44.0,71.0,24.0,25.0,57.0,21.0,56.0,38.0,34.0,0.0,4.0,16.0,0.0,10.0,39.0,30.0,0.0,6.0,37.0,3.0,44.0,3.0,38.0,83.0,2.0
2020-01-06,36.0,80.0,30.0,22.0,66.0,16.0,65.0,34.0,38.0,8.0,4.0,20.0,0.0,13.0,41.0,22.0,0.0,11.0,31.0,3.0,36.0,5.0,38.0,82.0,3.0
2020-01-07,34.0,84.0,18.0,26.0,75.0,16.0,68.0,38.0,44.0,0.0,0.0,23.0,0.0,14.0,41.0,19.0,0.0,5.0,32.0,3.0,28.0,6.0,42.0,92.0,3.0
2020-01-08,40.0,79.0,36.0,24.0,75.0,18.0,63.0,35.0,36.0,8.0,0.0,28.0,0.0,12.0,55.0,18.0,0.0,5.0,34.0,5.0,36.0,3.0,49.0,86.0,3.0
2020-01-09,55.0,75.0,33.0,24.0,80.0,16.0,71.0,36.0,36.0,8.0,4.0,34.0,0.0,15.0,70.0,17.0,0.0,27.0,31.0,4.0,41.0,4.0,49.0,82.0,4.0
2020-01-10,46.0,74.0,42.0,17.0,72.0,15.0,72.0,34.0,32.0,4.0,11.0,42.0,0.0,10.0,60.0,16.0,0.0,11.0,34.0,4.0,35.0,4.0,42.0,85.0,3.0
2020-01-11,44.0,69.0,27.0,28.0,55.0,19.0,70.0,37.0,34.0,0.0,4.0,6.0,0.0,10.0,54.0,20.0,0.0,0.0,35.0,2.0,41.0,2.0,35.0,94.0,2.0
2020-01-12,38.0,65.0,37.0,31.0,59.0,16.0,66.0,36.0,35.0,0.0,4.0,9.0,0.0,10.0,39.0,25.0,0.0,18.0,53.0,2.0,39.0,3.0,32.0,80.0,3.0
2020-01-13,39.0,84.0,27.0,21.0,79.0,15.0,61.0,37.0,36.0,8.0,7.0,26.0,0.0,13.0,73.0,20.0,0.0,5.0,36.0,5.0,37.0,5.0,44.0,79.0,4.0
2020-01-14,38.0,79.0,36.0,20.0,77.0,16.0,70.0,36.0,40.0,4.0,0.0,29.0,0.0,16.0,69.0,16.0,0.0,14.0,31.0,5.0,53.0,5.0,41.0,86.0,4.0
2020-01-15,35.0,84.0,31.0,18.0,79.0,16.0,62.0,39.0,41.0,8.0,0.0,22.0,0.0,17.0,79.0,15.0,1.0,15.0,33.0,4.0,47.0,5.0,46.0,92.0,4.0
2020-01-16,44.0,84.0,44.0,26.0,77.0,15.0,61.0,36.0,38.0,0.0,0.0,22.0,0.0,12.0,76.0,15.0,0.0,5.0,33.0,5.0,32.0,4.0,42.0,90.0,4.0
2020-01-17,44.0,76.0,21.0,27.0,67.0,13.0,59.0,35.0,33.0,0.0,0.0,23.0,0.0,12.0,43.0,14.0,0.0,5.0,42.0,4.0,34.0,3.0,41.0,91.0,4.0
2020-01-18,45.0,72.0,14.0,28.0,57.0,16.0,71.0,37.0,32.0,5.0,13.0,27.0,0.0,12.0,40.0,18.0,0.0,0.0,62.0,2.0,44.0,2.0,38.0,90.0,3.0
