,Date,MRNA_Open,MRNA_Close,MRNA_Difference,MRNA_Volume,JNJ_Open,JNJ_Close,JNJ_Difference,JNJ_Volume,BTNX_Open,BTNX_Close,BTNX_Difference,BTNX_Volume,DJIA_Open,DJIA_Close,DJIA_Difference,DJIA_Volume,PFE_Open,PFE_Close,PFE_Difference,PFE_Volume,Total Doses Administered,Daily Increase,Current Hospitalized COVID-19 Patients,Number of Flights
14,2019-12-20,19.4,19.83,-0.43,10931400,146.88,146.06,0.82,14532800,31.81,34.97,-3.16,447900,"28,608.64","28,455.09",153.55,"603,780,000",37.33,37.22,0.11,58199772,,,,
15,2019-12-23,19.79,19.7,0.09,1789700,145.74,146.44,-0.7,6558700,34.91,34.73,0.18,103500,"28,491.78","28,551.53",-59.75,"223,530,000",37.4,37.31,0.09,17454345,,,,
16,2019-12-24,19.69,19.75,-0.06,488900,146.0,145.93,0.07,4238900,34.61,33.47,1.14,23900,"28,572.57","28,515.45",57.12,"86,150,000",37.31,37.28,0.04,5187683,,,,
17,2019-12-26,19.82,19.86,-0.04,750300,145.97,145.83,0.14,3019300,33.29,33.2,0.09,53900,"28,539.46","28,621.39",-81.93,"155,970,000",37.29,37.36,-0.08,9384078,,,,
18,2019-12-27,19.99,19.52,0.47,1046900,146.2,145.75,0.45,3432700,32.61,32.58,0.03,38100,"28,675.34","28,645.26",30.08,"182,280,000",37.41,37.31,0.1,10117662,,,,
19,2019-12-30,19.54,19.05,0.49,1183300,145.78,145.3,0.48,2923300,33.0,34.91,-1.91,33500,"28,654.76","28,462.14",192.62,"181,600,000",37.29,36.92,0.37,11554264,,,,
20,2019-12-31,18.96,19.56,-0.6,1112400,145.1,145.87,-0.77,4435000,34.71,33.88,0.83,40000,"28,414.64","28,538.44",-123.8,"193,340,000",36.8,37.17,-0.37,15175703,,,,
21,2020-01-02,19.57,19.23,0.34,1233600,145.87,145.97,-0.1,5777000,35.75,38.5,-2.75,139500,"28,638.97","28,868.80",-229.83,"251,820,000",37.29,37.13,0.15,16514072,,,,
22,2020-01-03,19.02,18.89,0.13,1751000,143.5,144.28,-0.78,5752400,38.0,40.05,-2.05,176000,"28,553.33","28,634.88",-81.55,"239,590,000",36.74,36.94,-0.2,14922848,,,,
23,2020-01-06,18.7,18.13,0.57,1606500,144.0,144.1,-0.1,7731300,40.11,44.58,-4.47,333300,"28,465.50","28,703.38",-237.88,"252,760,000",36.83,36.89,-0.06,15771951,,,,
