Date,Number of Flights
3/31/2021,177350
3/30/2021,178798
3/29/2021,166983
3/28/2021,146815
3/27/2021,160125
3/26/2021,175694
3/25/2021,165585
3/24/2021,166628
3/23/2021,162645
3/22/2021,159927
3/21/2021,154106
3/20/2021,167770
3/19/2021,173031
3/18/2021,153282
3/17/2021,155710
3/16/2021,152777
3/15/2021,144134
3/14/2021,135481
3/13/2021,149074
3/12/2021,169345
3/11/2021,157977
3/10/2021,158729
3/9/2021,161680
3/8/2021,161072
3/7/2021,154561
3/6/2021,157575
3/5/2021,173512
3/4/2021,169762
3/3/2021,170167
3/2/2021,157518
3/1/2021,144526
2/28/2021,131584
2/27/2021,135380
2/26/2021,165237
2/25/2021,168661
2/24/2021,166192
2/23/2021,157214
2/22/2021,141073
2/21/2021,143098
2/20/2021,144724
2/19/2021,139089
2/18/2021,131775
2/17/2021,141512
2/16/2021,117876
2/15/2021,108146
2/14/2021,102833
2/13/2021,107369
2/12/2021,129580
2/11/2021,131937
2/10/2021,138101
2/9/2021,129433
2/8/2021,132614
2/7/2021,110960
2/6/2021,123893
2/5/2021,146221
2/4/2021,151090
2/3/2021,145808
2/2/2021,127998
2/1/2021,121137
1/31/2021,118899
1/30/2021,129361
1/29/2021,146372
1/28/2021,139448
1/27/2021,134364
1/26/2021,128840
1/25/2021,121921
1/24/2021,114449
1/23/2021,125375
1/22/2021,148183
1/21/2021,147337
1/20/2021,142017
1/19/2021,138651
1/18/2021,137202
1/17/2021,124504
1/16/2021,126077
1/15/2021,143574
1/14/2021,152648
1/13/2021,151105
1/12/2021,139964
1/11/2021,135168
1/10/2021,132867
1/9/2021,133933
1/8/2021,139866
1/7/2021,141572
1/6/2021,138576
1/5/2021,138303
1/4/2021,137935
1/3/2021,130037
1/2/2021,120291
1/1/2021,93897
12/31/2020,116553
12/30/2020,142838
12/29/2020,143506
12/28/2020,133896
12/27/2020,137385
12/26/2020,126552
12/25/2020,86450
12/24/2020,113112
12/23/2020,153218
12/22/2020,156499
12/21/2020,140175
12/20/2020,134888
12/19/2020,151293
12/18/2020,167781
12/17/2020,154311
12/16/2020,141021
12/15/2020,150370
12/14/2020,137180
12/13/2020,122790
12/12/2020,122437
12/11/2020,157400
12/10/2020,167196
12/9/2020,163047
12/8/2020,152078
12/7/2020,138117
12/6/2020,131888
12/5/2020,139015
12/4/2020,159359
12/3/2020,161041
12/2/2020,157000
12/1/2020,149432
11/30/2020,130912
11/29/2020,135971
11/28/2020,131483
11/27/2020,130016
11/26/2020,109293
11/25/2020,147614
11/24/2020,150370
11/23/2020,140867
11/22/2020,129459
11/21/2020,150169
11/20/2020,168452
11/19/2020,153455
11/18/2020,154212
11/17/2020,148984
11/16/2020,145682
11/15/2020,123670
11/14/2020,140152
11/13/2020,156985
11/12/2020,152913
11/11/2020,135773
11/10/2020,136552
11/9/2020,137983
11/8/2020,131575
11/7/2020,144085
11/6/2020,169742
11/5/2020,166889
11/4/2020,167179
11/3/2020,154779
11/2/2020,141570
11/1/2020,122920
10/31/2020,150905
10/30/2020,161577
10/29/2020,143870
10/28/2020,142076
10/27/2020,136318
10/26/2020,124271
10/25/2020,123675
10/24/2020,128438
10/23/2020,141878
10/22/2020,151846
10/21/2020,139069
10/20/2020,138166
10/19/2020,138651
10/18/2020,139373
10/17/2020,144068
10/16/2020,157148
10/15/2020,156068
10/14/2020,157357
10/13/2020,146771
10/12/2020,132649
10/11/2020,132441
10/10/2020,135202
10/9/2020,163785
10/8/2020,161245
10/7/2020,152426
10/6/2020,150356
10/5/2020,142464
10/4/2020,135064
10/3/2020,140138
10/2/2020,159331
10/1/2020,163100
9/30/2020,155109
9/29/2020,130882
9/28/2020,130931
9/27/2020,130980
9/26/2020,132201
9/25/2020,153321
9/24/2020,156616
9/23/2020,157382
9/22/2020,154255
9/21/2020,148551
9/20/2020,150231
9/19/2020,155400
9/18/2020,164247
9/17/2020,155895
9/16/2020,156758
9/15/2020,157722
9/14/2020,148274
9/13/2020,145029
9/12/2020,149109
9/11/2020,162215
9/10/2020,153377
9/9/2020,146196
9/8/2020,143196
9/7/2020,145320
9/6/2020,141825
9/5/2020,159021
9/4/2020,173559
9/3/2020,162095
9/2/2020,152636
9/1/2020,146148
8/31/2020,145561
8/30/2020,136981
8/29/2020,133324
8/28/2020,155275
8/27/2020,159110
8/26/2020,152846
8/25/2020,148116
8/24/2020,144217
8/23/2020,142071
8/22/2020,142494
8/21/2020,159724
8/20/2020,167110
8/19/2020,160289
8/18/2020,154941
8/17/2020,147485
8/16/2020,141931
8/15/2020,145720
8/14/2020,159621
8/13/2020,158569
8/12/2020,158289
8/11/2020,153882
8/10/2020,148852
8/9/2020,145270
8/8/2020,152224
8/7/2020,163664
8/6/2020,163789
8/5/2020,159116
8/4/2020,142681
8/3/2020,136365
8/2/2020,129153
8/1/2020,145736
7/31/2020,160034
7/30/2020,152409
7/29/2020,135541
7/28/2020,140805
7/27/2020,137884
7/26/2020,129750
7/25/2020,142760
7/24/2020,151744
7/23/2020,149118
7/22/2020,146449
7/21/2020,146312
7/20/2020,145643
7/19/2020,139824
7/18/2020,148535
7/17/2020,155093
7/16/2020,148395
7/15/2020,149426
7/14/2020,147427
7/13/2020,147301
7/12/2020,143199
7/11/2020,141124
7/10/2020,146182
7/9/2020,147323
7/8/2020,139012
7/7/2020,136786
7/6/2020,127813
7/5/2020,118048
7/4/2020,116896
7/3/2020,141940
7/2/2020,142950
7/1/2020,133384
6/30/2020,125957
6/29/2020,116337
6/28/2020,105289
6/27/2020,113899
6/26/2020,135951
6/25/2020,139183
6/24/2020,138845
6/23/2020,128606
6/22/2020,121175
6/21/2020,112276
6/20/2020,118555
6/19/2020,128228
6/18/2020,128959
6/17/2020,128775
6/16/2020,122942
6/15/2020,118914
6/14/2020,103124
6/13/2020,114310
6/12/2020,135545
6/11/2020,123965
6/10/2020,115051
6/9/2020,109757
6/8/2020,106809
6/7/2020,90962
6/6/2020,93355
6/5/2020,111025
6/4/2020,112990
6/3/2020,116320
6/2/2020,118835
6/1/2020,117797
5/31/2020,102287
5/30/2020,106999
5/29/2020,112233
5/28/2020,107189
5/27/2020,111860
5/26/2020,99868
5/25/2020,84532
5/24/2020,80451
5/23/2020,84093
5/22/2020,107821
5/21/2020,121065
5/20/2020,110349
5/19/2020,98601
5/18/2020,89296
5/17/2020,87398
5/16/2020,91233
5/15/2020,94840
5/14/2020,94368
5/13/2020,94702
5/12/2020,89858
5/11/2020,79443
5/10/2020,64344
5/9/2020,81275
5/8/2020,88776
5/7/2020,96122
5/6/2020,90071
5/5/2020,84315
5/4/2020,77484
5/3/2020,68602
5/2/2020,71244
5/1/2020,81522
4/30/2020,78510
4/29/2020,76156
4/28/2020,80714
4/27/2020,74696
4/26/2020,63561
4/25/2020,68877
4/24/2020,74831
4/23/2020,76032
4/22/2020,78427
4/21/2020,75371
4/20/2020,67434
4/19/2020,57994
4/18/2020,58163
4/17/2020,72081
4/16/2020,75216
4/15/2020,74953
4/14/2020,71808
4/13/2020,54214
4/12/2020,46294
4/11/2020,62592
4/10/2020,68188
4/9/2020,68623
4/8/2020,74591
4/7/2020,73157
4/6/2020,67420
4/5/2020,57065
4/4/2020,61570
4/3/2020,72785
4/2/2020,76022
4/1/2020,80431
3/31/2020,77465
3/30/2020,74295
3/29/2020,64522
3/28/2020,69508
3/27/2020,89276
3/26/2020,96970
3/25/2020,94477
3/24/2020,98539
3/23/2020,95227
3/22/2020,102181
3/21/2020,115564
3/20/2020,129138
3/19/2020,132135
3/18/2020,144330
3/17/2020,148325
3/16/2020,157293
3/15/2020,153521
3/14/2020,155729
3/13/2020,171961
3/12/2020,179920
3/11/2020,181341
3/10/2020,171193
3/9/2020,175350
3/8/2020,171187
3/7/2020,168507
3/6/2020,188587
3/5/2020,188674
3/4/2020,182378
3/3/2020,176892
3/2/2020,172689
3/1/2020,167470
2/29/2020,167470
2/28/2020,194125
2/27/2020,186942
2/26/2020,173708
2/25/2020,172456
2/24/2020,173788
2/23/2020,166252
2/22/2020,175274
2/21/2020,196756
2/20/2020,183430
2/19/2020,183938
2/18/2020,172208
2/17/2020,173785
2/16/2020,157345
2/15/2020,169293
2/14/2020,192613
2/13/2020,176585
2/12/2020,176204
2/11/2020,161819
2/10/2020,159472
2/9/2020,152651
2/8/2020,169881
2/7/2020,181611
2/6/2020,171934
2/5/2020,174865
2/4/2020,170708
2/3/2020,179441
2/2/2020,158666
2/1/2020,154067
1/31/2020,184949
1/30/2020,186239
1/29/2020,184425
1/28/2020,178310
1/27/2020,176736
1/26/2020,164267
1/25/2020,162301
1/24/2020,189551
1/23/2020,189810
