Date,Total Doses Administered,Daily Increase
7/7/2021,340330217,570025
7/6/2021,339760192,583617
7/5/2021,339176575,396355
7/4/2021,338780220,50308
7/3/2021,338729912,357456
7/2/2021,338372456,619991
7/1/2021,337752465,603703
6/30/2021,337148762,630156
6/29/2021,336518606,626878
6/28/2021,335891728,552580
6/27/2021,335339148,266858
6/26/2021,335072290,498395
6/25/2021,334573895,765196
6/24/2021,333808699,697850
6/23/2021,333110849,734129
6/22/2021,332376720,753791
6/21/2021,331622929,559057
6/20/2021,331063872,276002
6/19/2021,330787870,574091
6/18/2021,330213779,918445
6/17/2021,329295334,891682
6/16/2021,328403652,941554
6/15/2021,327462098,975252
6/14/2021,326486846,910303
6/13/2021,325576543,391953
6/12/2021,325184590,890873
6/11/2021,324293717,1227119
6/10/2021,323066598,1165975
6/9/2021,321900623,1161684
6/8/2021,320738939,1171033
6/7/2021,319567906,1066961
6/6/2021,318500945,515002
6/5/2021,317985943,1067832
6/4/2021,316918111,1398063
6/3/2021,315520048,1242660
6/2/2021,314277388,1113675
6/1/2021,313163713,1260184
5/31/2021,311903529,201157
5/30/2021,311702372,383823
5/29/2021,311318549,763378
5/28/2021,310555171,1324957
5/27/2021,309230214,1342954
5/26/2021,307887260,1429731
5/25/2021,306457529,1432937
5/24/2021,305024592,1316872
5/23/2021,303707720,656563
5/22/2021,303051157,1444608
5/21/2021,301606549,2051673
5/20/2021,299554876,2013240
5/19/2021,297541636,2080674
5/18/2021,295460962,2065952
5/17/2021,293395010,1815989
5/16/2021,291579021,930507
5/15/2021,290648514,1840656
5/14/2021,288807858,2444257
5/13/2021,286363601,2269291
5/12/2021,284094310,2008845
5/11/2021,282085465,2040478
5/10/2021,280044987,1598794
5/9/2021,278446193,613081
5/8/2021,277833112,1529916
5/7/2021,276303196,2497888
5/6/2021,273805308,2511116
5/5/2021,271294192,2538629
5/4/2021,268755563,2495303
5/3/2021,266260260,1955748
5/2/2021,264304512,875673
5/1/2021,263428839,1834549
4/30/2021,261594290,2894595
4/29/2021,258699695,3031901
4/28/2021,255667794,3066883
4/27/2021,252600911,2873439
4/26/2021,249727472,2377547
4/25/2021,247349925,989598
4/24/2021,246360327,2198649
4/23/2021,244161678,3279087
4/22/2021,240882591,3479108
4/21/2021,237403483,3457675
4/20/2021,233945808,3217392
4/19/2021,230728416,2571077
4/18/2021,228157339,1128939
4/17/2021,227028400,2353711
4/16/2021,224674689,3589468
4/15/2021,221085221,3732063
4/14/2021,217353158,3680958
4/13/2021,213672200,3468784
4/12/2021,210203416,3009004
4/11/2021,207194412,1397313
4/10/2021,205797099,2878525
4/9/2021,202918574,4310200
4/8/2021,198608374,4492281
4/7/2021,194116093,4349954
4/6/2021,189766139,3973153
4/5/2021,185792986,3100661
4/4/2021,182692325,762087
4/3/2021,181930238,2297501
4/2/2021,179632737,3651241
4/1/2021,175981496,4542790
3/31/2021,171438706,4166614
3/30/2021,167272092,3588425
3/29/2021,163683667,2834983
3/28/2021,160848684,1208522
3/27/2021,159640162,2468989
3/26/2021,157171173,3826406
3/25/2021,153344767,3831686
3/24/2021,149513081,3552975
3/23/2021,145960106,3061711
3/22/2021,142898395,2361243
3/21/2021,140537152,1017567
3/20/2021,139519585,2152018
3/19/2021,137367567,3334926
3/18/2021,134032641,3398688
3/17/2021,130633953,3164563
3/16/2021,127469390,2884364
3/15/2021,124585026,2278165
3/14/2021,122306861,982536
3/13/2021,121324325,2187137
3/12/2021,119137188,3423066
3/11/2021,115714122,3434446
3/10/2021,112279676,3119469
3/9/2021,109160207,2703426
3/8/2021,106456781,2161373
3/7/2021,104295408,923282
3/6/2021,103372126,2055897
3/5/2021,101316229,3225233
3/4/2021,98090996,3199739
3/3/2021,94891257,2898319
3/2/2021,91992938,2459727
3/1/2021,89533211,2041115
2/28/2021,87492096,853790
2/27/2021,86638306,1992656
2/26/2021,84645650,3110214
2/25/2021,81535436,2934075
2/24/2021,78601361,2523217
2/23/2021,76078144,1934442
2/22/2021,74143702,1459177
2/21/2021,72684525,594151
2/20/2021,72090374,1304153
2/19/2021,70786221,1964896
2/18/2021,68821325,1854635
2/17/2021,66966690,1962511
2/16/2021,65004179,1619163
2/15/2021,63385016,1176199
