Date,MRNA_Open,MRNA_Close,MRNA_Difference,MRNA_Volume,JNJ_Open,JNJ_Close,JNJ_Difference,JNJ_Volume,BTNX_Open,BTNX_Close,BTNX_Difference,BTNX_Volume,DJIA_Open,DJIA_Close,DJIA_Difference,DJIA_Volume,PFE_Open,PFE_Close,PFE_Difference,PFE_Volume,alcoholism,anxiety,athleisure,cutting hair,depression,dry cough,eczema,fever,flu symptoms,lack of smell,lack of taste,long-term care,mask mandates,obamacare,opiods,peloton,quarantine,short-term disability,star trek,telehealth,teslas,unemployment insurance,vaping,xanax,zoom,covid symptoms,hospitals near me,baconator,helmet,aluminium,plane,age,hen,table,digital,mutation,oppose,city,athlete,prediction,tumble,stroke,diabetes,lungs,ivermectin,hydroxychloroquine,bleach,lake
12/17/19,18.54,18.44,0.1,1647800,143,143.56,-0.56,10722400,36.51,36.91,-0.4,261600,"28,221.75","28,267.16",-45.41,"286,770,000",37.42,36.91,0.51,29038016,37,77,22,20,83,16,62,36,29,4,0,26,0,22,78,24,0,22,29,4,38,5,55,86,4,0,47,9,66,22,26,42,16,67,64,20,39,45,37,7,63,47,67,41,1,0,15,35
12/18/19,18.48,18.64,-0.16,1277700,143.72,143.19,0.53,7849200,35.48,35,0.48,146500,"28,291.44","28,239.28",52.16,"289,890,000",37.01,36.9,0.11,27339390,42,73,59,27,72,15,59,34,30,9,8,21,0,26,60,21,0,0,34,3,44,4,45,82,3,0,63,17,59,24,26,40,15,61,61,17,26,44,34,8,80,49,57,39,1,0,14,34
12/19/19,18.58,19.41,-0.83,2101700,143.89,145.35,-1.46,9414700,33.87,29.34,4.53,250500,"28,278.31","28,376.96",-98.65,"262,570,000",37,36.97,0.03,22022276,33,65,28,21,66,13,61,34,28,0,0,30,0,41,36,18,0,0,35,3,31,3,45,83,3,0,59,5,69,26,24,43,16,57,66,12,15,47,33,9,65,49,59,32,1,0,15,37
12/20/19,19.4,19.83,-0.43,10931400,146.88,146.06,0.82,14532800,31.81,34.97,-3.16,447900,"28,608.64","28,455.09",153.55,"603,780,000",37.33,37.22,0.11,58199772,32,64,30,18,56,14,65,35,29,0,0,37,0,19,60,18,0,12,49,3,41,2,38,83,3,0,55,11,66,17,26,46,20,56,60,5,12,45,33,9,69,46,51,35,0,0,18,39
12/23/19,19.79,19.7,0.09,1789700,145.74,146.44,-0.7,6558700,34.91,34.73,0.18,103500,"28,491.78","28,551.53",-59.75,"223,530,000",37.4,37.31,0.09,17454345,27,65,31,22,51,23,57,41,38,0,0,13,0,9,52,20,0,0,34,2,45,5,31,83,2,0,55,11,69,21,24,45,27,52,58,7,7,44,27,7,52,46,53,36,1,0,17,38
12/24/19,19.69,19.75,-0.06,488900,146,145.93,0.07,4238900,34.61,33.47,1.14,23900,"28,572.57","28,515.45",57.12,"86,150,000",37.31,37.28,0.04,5187683,24,61,29,32,52,20,66,43,39,0,0,17,0,7,42,20,0,13,32,2,47,2,35,87,2,0,60,9,69,20,26,47,40,42,66,4,2,40,32,7,60,45,42,32,1,0,14,37
12/26/19,19.82,19.86,-0.04,750300,145.97,145.83,0.14,3019300,33.29,33.2,0.09,53900,"28,539.46","28,621.39",-81.93,"155,970,000",37.29,37.36,-0.08,9384078,39,65,33,22,53,21,55,44,44,5,0,10,0,21,43,34,0,6,35,2,43,3,31,94,3,0,75,16,66,19,30,50,16,62,63,8,10,53,32,13,66,46,59,35,1,0,18,44
12/27/19,19.99,19.52,0.47,1046900,146.2,145.75,0.45,3432700,32.61,32.58,0.03,38100,"28,675.34","28,645.26",30.08,"182,280,000",37.41,37.31,0.1,10117662,37,67,47,23,50,20,67,44,43,0,4,22,0,16,55,37,0,6,36,2,21,3,35,87,3,0,65,8,75,23,78,55,20,62,58,6,8,49,44,12,52,49,55,39,1,0,20,43
12/30/19,19.54,19.05,0.49,1183300,145.78,145.3,0.48,2923300,33,34.91,-1.91,33500,"28,654.76","28,462.14",192.62,"181,600,000",37.29,36.92,0.37,11554264,51,75,30,22,57,23,60,43,40,0,4,12,0,11,45,28,0,17,35,3,44,5,38,89,3,0,60,8,69,25,27,48,19,54,54,6,8,52,40,11,59,47,56,37,1,0,19,41
12/31/19,18.96,19.56,-0.6,1112400,145.1,145.87,-0.77,4435000,34.71,33.88,0.83,40000,"28,414.64","28,538.44",-123.8,"193,340,000",36.8,37.17,-0.37,15175703,36,68,20,22,53,21,58,40,39,5,4,19,0,10,55,27,0,6,36,3,37,3,35,82,3,0,60,9,80,20,28,63,23,55,52,5,6,48,37,11,80,46,54,32,1,0,17,43
1/2/20,19.57,19.23,0.34,1233600,145.87,145.97,-0.1,5777000,35.75,38.5,-2.75,139500,"28,638.97","28,868.80",-229.83,"251,820,000",37.29,37.13,0.15,16514072,44,81,22,20,65,20,67,38,36,0,4,33,0,9,42,30,0,6,35,4,36,6,52,86,3,0,59,14,62,27,26,56,16,58,63,10,10,48,39,10,89,48,66,38,1,0,17,44
1/3/20,19.02,18.89,0.13,1751000,143.5,144.28,-0.78,5752400,38,40.05,-2.05,176000,"28,553.33","28,634.88",-81.55,"239,590,000",36.74,36.94,-0.2,14922848,35,74,59,22,58,19,67,38,38,0,0,24,0,10,51,25,0,5,42,4,40,3,48,88,3,0,56,10,72,26,28,58,18,61,61,8,11,46,34,10,63,45,59,41,1,0,19,45
1/6/20,18.7,18.13,0.57,1606500,144,144.1,-0.1,7731300,40.11,44.58,-4.47,333300,"28,465.50","28,703.38",-237.88,"252,760,000",36.83,36.89,-0.06,15771951,36,80,30,22,66,16,65,34,38,8,4,20,0,13,41,22,0,11,31,3,36,5,38,82,3,0,72,24,64,28,28,47,15,62,65,16,26,50,41,8,54,54,73,41,1,0,17,41
1/7/20,18.15,17.78,0.37,1461400,144.01,144.98,-0.97,7382900,47.4,43.34,4.06,562100,"28,639.18","28,583.68",55.5,"258,900,000",37.12,36.76,0.35,20108107,34,84,18,26,75,16,68,38,44,0,0,23,0,14,41,19,0,5,32,3,28,6,42,92,3,0,57,16,59,28,87,46,14,63,65,18,32,46,41,7,57,50,76,44,1,0,16,39
1/8/20,17.99,17.98,0.01,1041600,144.87,144.96,-0.09,6605800,44.3,45.1,-0.8,193900,"28,556.14","28,745.09",-188.95,"291,750,000",36.77,37.06,-0.28,16403507,40,79,36,24,75,18,63,35,36,8,0,28,0,12,55,18,0,5,34,5,36,3,49,86,3,0,71,20,59,28,84,44,16,62,65,22,33,48,39,7,72,53,78,44,1,0,16,39
1/9/20,18,18.4,-0.4,1495700,145.76,145.39,0.37,6112700,46.55,43.27,3.28,234900,"28,851.97","28,956.90",-104.93,"275,060,000",37.26,36.9,0.36,21971895,55,75,33,24,80,16,71,36,36,8,4,34,0,15,70,17,0,27,31,4,41,4,49,82,4,0,60,17,59,25,67,42,17,61,62,18,29,47,39,8,66,51,70,45,1,0,17,41
1/10/20,21,19.14,1.86,4504700,145.75,145.06,0.69,5042600,44.99,39.68,5.31,369100,"28,977.52","28,823.77",153.75,"237,830,000",36.98,37.47,-0.48,21557357,46,74,42,17,72,15,72,34,32,4,11,42,0,10,60,16,0,11,34,4,35,4,42,85,3,0,47,16,69,28,48,47,22,62,61,9,9,49,34,9,72,47,61,38,1,0,20,44
1/13/20,19.26,20.26,-1,2207500,145.48,145.7,-0.22,4593200,41.01,37.83,3.18,459400,"28,869.01","28,907.05",-38.04,"249,830,000",37.59,37.39,0.2,15392405,39,84,27,21,79,15,61,37,36,8,7,26,0,13,73,20,0,5,36,5,37,5,44,79,4,0,65,10,65,33,30,45,16,65,62,22,30,47,45,8,63,53,74,45,1,0,16,41
1/14/20,20.45,20,0.45,1782800,145.05,146.52,-1.47,7037500,35.3,34.53,0.77,266300,"28,895.50","28,939.67",-44.17,"287,440,000",37.41,38.02,-0.61,20919160,38,79,36,20,77,16,70,36,40,4,0,29,0,16,69,16,0,14,31,5,53,5,41,86,4,0,60,16,62,34,32,48,16,65,65,24,31,50,48,7,59,56,75,46,1,0,17,41
1/15/20,19.94,20.24,-0.3,2055000,146.4,147.01,-0.61,4960300,35.3,34.55,0.75,361000,"28,901.80","29,030.22",-128.42,"260,270,000",38.13,38.59,-0.46,23925800,35,84,31,18,79,16,62,39,41,8,0,22,0,17,79,15,1,15,33,4,47,5,46,92,4,0,60,12,56,37,29,43,14,65,65,23,35,48,45,7,62,52,75,47,1,0,16,41
