Date,alcoholism,anxiety,athleisure,cutting hair,depression,dry cough,eczema,fever,flu symptoms,lack of smell,lack of taste,long-term care,mask mandates,obamacare,opiods,peloton,quarantine,short-term disability,star trek,telehealth,teslas,unemployment insurance,vaping,xanax,zoom,covid symptoms,hospitals near me,baconator,helmet,aluminium,plane,age,hen,table,digital,mutation,oppose,city,athlete,prediction,tumble,stroke,diabetes,lungs,ivermectin,hydroxychloroquine,bleach,lake
2019-12-29,36,64,35,29,51,22,56,45,42,0,0,13,0,9,76,28,0,6,55,2,51,3,31,89,2,0,58,13,66,26,35,50,17,59,60,7,4,53,47,9,49,45,62,37,1,0,17,43
2019-12-30,51,75,30,22,57,23,60,43,40,0,4,12,0,11,45,28,0,17,35,3,44,5,38,89,3,0,60,8,69,25,27,48,19,54,54,6,8,52,40,11,59,47,56,37,1,0,19,41
2019-12-31,36,68,20,22,53,21,58,40,39,5,4,19,0,10,55,27,0,6,36,3,37,3,35,82,3,0,60,9,80,20,28,63,23,55,52,5,6,48,37,11,80,46,54,32,1,0,17,43
2020-01-01,36,64,22,23,53,20,55,37,32,0,0,7,0,8,37,36,0,0,40,2,33,1,35,86,2,0,66,13,65,23,26,50,15,62,60,9,9,49,35,10,100,47,66,34,1,0,18,46
2020-01-02,44,81,22,20,65,20,67,38,36,0,4,33,0,9,42,30,0,6,35,4,36,6,52,86,3,0,59,14,62,27,26,56,16,58,63,10,10,48,39,10,89,48,66,38,1,0,17,44
2020-01-03,35,74,59,22,58,19,67,38,38,0,0,24,0,10,51,25,0,5,42,4,40,3,48,88,3,0,56,10,72,26,28,58,18,61,61,8,11,46,34,10,63,45,59,41,1,0,19,45
2020-01-04,41,68,47,26,55,21,66,42,38,0,4,10,0,9,79,31,0,12,36,2,55,2,42,92,2,0,84,21,81,21,29,59,19,64,59,5,6,43,39,9,61,48,58,36,1,0,19,40
2020-01-05,44,71,24,25,57,21,56,38,34,0,4,16,0,10,39,30,0,6,37,3,44,3,38,83,2,0,74,16,68,21,28,53,14,61,61,16,17,48,39,9,62,53,66,41,1,0,16,42
2020-01-06,36,80,30,22,66,16,65,34,38,8,4,20,0,13,41,22,0,11,31,3,36,5,38,82,3,0,72,24,64,28,28,47,15,62,65,16,26,50,41,8,54,54,73,41,1,0,17,41
2020-01-07,34,84,18,26,75,16,68,38,44,0,0,23,0,14,41,19,0,5,32,3,28,6,42,92,3,0,57,16,59,28,87,46,14,63,65,18,32,46,41,7,57,50,76,44,1,0,16,39
2020-01-08,40,79,36,24,75,18,63,35,36,8,0,28,0,12,55,18,0,5,34,5,36,3,49,86,3,0,71,20,59,28,84,44,16,62,65,22,33,48,39,7,72,53,78,44,1,0,16,39
2020-01-09,55,75,33,24,80,16,71,36,36,8,4,34,0,15,70,17,0,27,31,4,41,4,49,82,4,0,60,17,59,25,67,42,17,61,62,18,29,47,39,8,66,51,70,45,1,0,17,41
2020-01-10,46,74,42,17,72,15,72,34,32,4,11,42,0,10,60,16,0,11,34,4,35,4,42,85,3,0,47,16,69,28,48,47,22,62,61,9,9,49,34,9,72,47,61,38,1,0,20,44
2020-01-11,44,69,27,28,55,19,70,37,34,0,4,6,0,10,54,20,0,0,35,2,41,2,35,94,2,0,48,14,77,25,36,50,18,64,55,9,7,59,38,8,63,48,56,37,1,0,20,40
2020-01-12,38,65,37,31,59,16,66,36,35,0,4,9,0,10,39,25,0,18,53,2,39,3,32,80,3,0,57,11,65,26,30,46,16,65,63,19,26,54,41,9,69,51,74,42,1,0,16,43
2020-01-13,39,84,27,21,79,15,61,37,36,8,7,26,0,13,73,20,0,5,36,5,37,5,44,79,4,0,65,10,65,33,30,45,16,65,62,22,30,47,45,8,63,53,74,45,1,0,16,41
2020-01-14,38,79,36,20,77,16,70,36,40,4,0,29,0,16,69,16,0,14,31,5,53,5,41,86,4,0,60,16,62,34,32,48,16,65,65,24,31,50,48,7,59,56,75,46,1,0,17,41
2020-01-15,35,84,31,18,79,16,62,39,41,8,0,22,0,17,79,15,1,15,33,4,47,5,46,92,4,0,60,12,56,37,29,43,14,65,65,23,35,48,45,7,62,52,75,47,1,0,16,41
2020-01-16,44,84,44,26,77,15,61,36,38,0,0,22,0,12,76,15,0,5,33,5,32,4,42,90,4,0,60,21,59,28,29,44,13,63,63,22,25,50,45,7,66,51,68,45,1,0,17,43
2020-01-17,44,76,21,27,67,13,59,35,33,0,0,23,0,12,43,14,0,5,42,4,34,3,41,91,4,0,52,22,69,24,27,48,17,64,64,7,7,50,37,8,83,50,61,39,1,0,19,44
2020-01-18,45,72,14,28,57,16,71,37,32,5,13,27,0,12,40,18,0,0,62,2,44,2,38,90,3,0,50,20,71,29,27,52,17,64,58,9,5,64,41,10,68,46,55,39,1,0,20,42
2020-01-19,36,71,47,27,56,18,66,36,32,5,4,47,0,9,46,18,0,0,60,3,40,3,31,88,3,0,70,17,72,28,25,50,16,62,58,12,12,56,40,7,67,52,66,40,1,0,17,43
2020-01-20,44,74,52,28,63,17,69,36,36,9,0,29,0,9,57,16,0,0,47,4,44,4,31,87,3,0,58,17,63,27,26,45,14,68,62,24,40,51,47,7,51,54,79,43,0,0,17,40
2020-01-21,50,82,50,27,79,16,71,39,45,0,4,42,0,12,49,14,0,21,41,5,29,5,48,86,4,0,66,28,59,33,26,43,15,72,64,27,36,51,44,8,65,54,77,49,0,0,17,40
2020-01-22,38,80,48,19,83,17,70,40,39,0,4,25,0,16,49,14,1,26,51,4,41,8,44,93,4,0,62,17,59,25,29,43,13,68,63,28,38,48,42,7,61,58,74,47,1,0,17,40
2020-01-23,43,79,33,20,84,19,76,40,39,0,4,40,0,14,60,14,2,11,85,3,54,5,48,86,4,0,53,11,56,31,27,43,16,65,62,26,26,49,48,7,67,56,72,48,1,0,16,41
